DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD
CRANE ISD,3,1151,72,44,20,74,48,22,75,69,38,18,75,44,15,66,47,25,55,18,5,70,41,18,79,59,29,,,,100,89,89,,,,-1,-1,-1,65,35,13
CROCKETT COUNTY CONSOLIDATED CSD,3,729,80,50,22,81,55,21,84,79,46,25,84,51,20,72,40,12,100,91,55,77,45,17,87,66,35,-1,-1,-1,88,25,0,,,,83,83,50,76,44,17
CROSBYTON CISD,3,329,63,30,10,68,40,15,69,54,20,7,69,30,7,59,27,10,78,22,0,59,26,8,73,46,19,,,,,,,,,,80,50,0,63,29,8
LORENZO ISD,1,237,61,24,9,63,28,12,68,58,19,5,68,19,5,55,33,17,45,20,10,58,21,8,78,40,16,,,,,,,,,,-1,-1,-1,58,23,10
RALLS ISD,4,484,50,23,8,54,28,9,49,46,17,6,49,24,7,48,19,7,20,0,0,44,18,6,70,38,11,-1,-1,-1,,,,,,,100,57,43,45,19,6
CULBERSON COUNTY-ALLAMOORE ISD,1,360,64,31,11,70,40,15,67,52,20,8,67,27,9,75,33,9,60,20,0,64,32,12,69,24,5,67,50,17,60,27,13,-1,-1,-1,30,0,0,61,29,11
DALHART ISD,4,1717,67,41,18,65,40,17,75,67,37,18,75,51,16,69,42,23,54,25,8,61,34,13,80,56,28,82,36,0,-1,-1,-1,,,,63,37,15,59,32,12
TEXLINE ISD,1,213,81,57,32,82,62,36,80,87,62,38,80,48,23,60,37,10,,,,78,46,19,84,65,42,,,,,,,,,,71,57,14,75,46,25
PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,1,486,61,29,13,65,35,15,65,52,23,11,65,23,6,66,33,17,61,32,9,74,37,15,100,75,13,-1,-1,-1,,,,,,,100,75,38,100,100,80
UPLIFT EDUCATION,43,22183,68,38,17,72,47,21,67,64,31,13,67,34,12,64,37,20,62,32,13,66,35,13,82,58,33,78,35,10,96,86,60,82,59,18,74,46,22,65,34,13
TEXANS CAN ACADEMIES,13,5037,51,16,2,36,14,0,59,64,19,4,59,12,1,70,25,7,45,13,1,53,18,2,65,26,4,50,42,0,27,20,13,,,,49,16,0,51,16,2
LUMIN EDUCATION,1,250,74,43,28,73,54,38,,75,32,18,,,,,,,88,50,38,65,30,14,100,89,78,,,,,,,,,,,,,68,33,20
ADVANTAGE ACADEMY,1,1138,44,17,6,54,28,11,50,32,8,3,50,13,4,43,16,6,42,15,6,45,18,6,58,33,15,,,,67,33,17,,,,25,17,17,44,16,6
LIFE SCHOOL,8,5558,70,39,15,73,47,19,73,65,30,12,73,41,13,66,38,18,67,35,13,69,39,15,82,53,25,62,31,23,88,81,56,,,,77,52,24,65,33,13
UNIVERSAL ACADEMY,2,2055,85,61,39,89,69,46,86,81,57,36,86,54,29,75,52,33,78,45,25,75,43,18,82,63,40,-1,-1,-1,94,80,59,,,,82,46,18,78,45,21
NOVA ACADEMY,1,124,58,28,10,60,35,15,,55,20,5,,,,,,,63,30,13,50,25,0,-1,-1,-1,,,,,,,,,,,,,61,29,11
ACADEMY OF DALLAS,1,245,42,18,5,59,32,11,25,33,13,3,25,5,0,41,4,0,35,15,5,56,24,4,,,,,,,,,,,,,,,,42,18,5
TRINITY BASIN PREPARATORY,3,4211,68,38,18,73,44,22,65,65,33,13,65,35,17,66,33,17,58,27,16,69,38,18,68,40,19,43,7,0,82,46,20,,,,60,60,50,67,37,17
ACADEMY FOR ACADEMIC EXCELLENCE,4,297,43,12,0,35,17,0,43,50,5,0,43,10,0,-1,-1,-1,71,0,0,40,13,0,,,,,,,,,,,,,,,,61,9,0
A W BROWN LEADERSHIP ACADEMY,2,1067,57,25,10,69,39,16,41,48,15,5,41,11,2,68,22,10,57,25,10,,,,,,,,,,,,,,,,,,,57,25,10
JEAN MASSIEU ACADEMY,1,202,73,40,19,73,46,23,69,72,32,10,69,35,14,85,52,44,91,48,39,71,38,17,100,75,38,-1,-1,-1,,,,,,,70,40,20,73,38,17
NOVA ACADEMY SOUTHEAST,2,535,66,34,16,75,49,28,54,63,25,9,54,18,5,53,22,18,62,29,14,68,36,18,50,25,13,,,,,,,,,,-1,-1,-1,64,32,15
WINFREE ACADEMY CHARTER SCHOOLS,6,1068,67,28,5,55,28,3,76,60,16,4,76,22,3,85,39,12,62,22,4,66,26,4,78,44,12,-1,-1,-1,88,50,12,50,0,0,56,27,0,64,24,3
A+ ACADEMY,2,1551,58,27,9,60,34,11,60,54,19,6,60,23,5,59,35,17,45,22,8,58,27,9,64,31,10,,,,22,0,0,,,,80,60,0,59,29,9
INSPIRED VISION ACADEMY,2,1271,54,22,7,60,31,10,50,52,15,5,50,11,1,50,24,6,56,16,1,54,22,7,63,27,7,,,,,,,,,,,,,54,21,6
GATEWAY CHARTER ACADEMY,2,654,64,31,11,71,43,14,59,58,21,4,59,24,6,60,28,22,63,31,10,73,37,10,,,,-1,-1,-1,,,,,,,-1,-1,-1,64,31,10
EDUCATION CENTER INTERNATIONAL ACADEMY,3,501,62,31,14,71,42,20,45,58,25,9,45,21,11,67,10,5,51,26,10,70,28,11,57,30,14,,,,86,51,27,100,80,60,47,24,6,61,28,14
EVOLUTION ACADEMY CHARTER SCHOOL,3,669,57,23,4,44,24,2,67,58,9,1,67,15,1,72,35,12,53,19,2,56,20,3,73,43,15,-1,-1,-1,100,67,50,,,,64,55,27,55,22,2
GOLDEN RULE CHARTER SCHOOL,6,1557,72,39,19,78,49,25,63,70,33,16,63,32,9,59,26,12,70,36,16,72,40,19,67,33,28,55,36,27,20,20,0,,,,-1,-1,-1,72,39,19
ST ANTHONY SCHOOL,2,316,76,36,16,82,53,30,62,78,30,8,62,14,0,67,15,10,76,35,15,92,62,31,,,,,,,,,,,,,69,38,25,76,36,15
LA ACADEMIA DE ESTRELLAS,2,985,70,36,16,75,45,24,74,66,29,9,74,36,15,53,24,14,-1,-1,-1,70,36,16,60,0,0,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,69,34,16
RICHLAND COLLEGIATE HIGH SCHOOL,1,336,96,79,30,67,33,0,-1,96,79,7,-1,-1,-1,98,81,50,94,74,26,95,76,22,94,80,37,,,,100,83,30,,,,100,86,57,-1,-1,-1
CITYSCAPE SCHOOLS,2,1256,47,19,7,58,28,12,37,43,16,4,37,9,4,10,2,0,35,9,3,49,21,8,50,42,17,,,,,,,,,,,,,47,20,7
MANARA ACADEMY,3,541,64,36,15,74,46,22,52,59,31,13,52,23,6,62,30,7,63,34,12,-1,-1,-1,61,36,18,67,44,22,72,41,17,-1,-1,-1,44,11,6,63,32,13
UME PREPARATORY ACADEMY,3,1365,85,57,28,90,68,37,87,81,42,18,87,64,26,77,51,31,79,48,22,82,49,21,94,75,43,73,36,0,83,57,37,,,,87,60,33,80,46,19
LEGACY PREPARATORY,2,1464,60,28,11,65,36,14,63,55,23,8,63,23,5,48,22,12,57,31,12,60,27,10,61,33,14,71,19,3,-1,-1,-1,50,0,0,76,53,26,60,28,10
VILLAGE TECH SCHOOLS,1,1232,66,33,11,73,43,14,71,53,18,4,71,36,11,76,51,30,55,23,7,71,38,13,78,48,20,,,,94,69,0,,,,74,36,15,60,29,9
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),33,20535,64,35,15,69,44,20,65,57,25,10,65,34,12,63,35,19,59,32,13,61,31,12,80,52,28,54,30,12,87,66,40,76,41,14,69,42,20,58,29,12
PIONEER TECHNOLOGY & ARTS ACADEMY,6,2226,76,44,18,85,59,28,76,70,31,11,76,40,10,66,38,19,78,42,18,73,39,15,80,53,24,-1,-1,-1,95,67,29,78,44,22,80,49,22,74,41,15
BRIDGEWAY PREPARATORY ACADEMY,1,96,50,27,6,48,33,10,17,62,24,5,17,17,0,,,,44,22,3,40,20,0,100,67,33,,,,,,,,,,,,,56,33,33
CARROLLTON-FARMERS BRANCH ISD,39,24888,71,44,20,71,47,21,72,71,41,18,72,43,18,74,46,26,61,33,12,68,38,15,86,65,37,63,45,26,92,77,52,67,33,7,77,51,24,66,36,14
CEDAR HILL ISD,12,7112,62,33,13,66,41,16,63,56,23,9,63,31,11,68,40,20,60,31,11,64,36,16,81,51,24,84,41,16,83,55,30,100,78,56,73,40,16,58,29,11
DALLAS ISD,237,143430,67,41,18,66,43,19,68,68,39,18,68,37,15,68,40,21,59,30,12,68,40,17,88,73,48,74,44,16,86,69,47,62,29,13,74,51,29,65,37,16
DESOTO ISD,10,7339,61,32,12,66,40,14,58,54,24,9,58,28,7,66,34,16,60,31,11,63,33,12,56,33,16,63,47,13,66,38,22,,,,69,43,18,58,29,10
DUNCANVILLE ISD,18,11944,65,36,13,66,41,14,68,60,27,10,68,35,11,72,43,19,60,31,10,68,38,14,77,53,22,50,20,7,85,64,32,-1,-1,-1,72,46,23,63,33,11
GARLAND ISD,70,52960,71,44,20,72,49,22,72,70,38,16,72,43,19,73,46,26,64,36,15,67,38,15,83,59,32,74,39,16,89,70,42,81,59,30,79,54,26,67,38,16
GRAND PRAIRIE ISD,39,27284,68,41,17,68,45,19,70,67,36,16,70,39,15,69,41,22,66,40,16,67,38,15,76,53,27,63,34,15,90,73,46,76,45,21,77,51,26,65,36,14
HIGHLAND PARK ISD,8,6666,96,82,51,97,86,53,96,96,78,48,96,79,42,96,84,67,83,58,28,94,78,44,96,82,49,94,73,33,99,92,75,93,57,50,97,85,60,87,50,13
IRVING ISD,37,32339,63,33,12,63,38,14,67,61,27,10,67,34,10,65,37,19,60,31,12,63,32,11,71,43,19,63,28,9,86,66,33,61,34,9,66,36,14,62,32,12
LANCASTER ISD,9,6978,67,35,13,70,42,16,68,63,29,11,68,32,10,68,29,13,66,33,11,70,39,17,71,47,12,73,44,17,100,81,52,70,50,30,65,37,21,65,32,12
MESQUITE ISD,50,38311,70,42,18,68,43,17,77,71,39,17,77,48,20,69,40,20,63,33,12,72,43,18,78,53,26,72,45,23,87,67,39,67,41,19,72,45,20,68,40,16
RICHARDSON ISD,55,37358,73,50,26,74,54,28,75,71,43,22,75,50,24,76,54,35,64,37,16,63,35,14,91,76,47,73,46,18,81,59,34,67,35,15,80,60,36,63,35,14
SUNNYVALE ISD,4,2104,89,68,36,91,73,40,91,86,57,26,91,70,35,94,78,56,75,53,27,82,52,20,91,70,37,100,75,25,96,80,48,-1,-1,-1,87,65,34,72,41,16
COPPELL ISD,16,13107,92,78,53,92,80,52,92,92,75,52,92,77,50,94,81,60,80,52,21,79,55,28,92,73,42,94,80,49,97,89,67,100,92,38,90,71,43,75,48,22
DAWSON ISD,1,149,57,22,9,71,33,16,67,39,8,1,67,30,11,50,17,6,,,,55,17,6,56,38,20,,,,,,,,,,90,20,0,54,19,7
KLONDIKE ISD,1,259,94,78,50,97,80,53,89,96,83,51,89,73,47,77,58,42,,,,90,71,41,96,84,56,,,,,,,,,,100,83,67,87,67,43
LAMESA ISD,1,1602,54,26,9,56,31,11,55,49,19,7,55,27,6,59,24,8,55,31,6,53,24,8,59,34,17,-1,-1,-1,92,69,23,,,,73,45,9,52,23,7
SANDS CISD,1,246,90,61,27,93,62,22,94,87,57,28,94,67,37,84,64,36,,,,88,58,20,92,64,34,100,67,17,-1,-1,-1,,,,-1,-1,-1,89,54,24
HEREFORD ISD,8,3953,68,36,14,70,41,15,63,70,34,14,63,31,9,60,32,16,67,56,22,74,41,10,82,65,23,-1,-1,-1,,,,-1,-1,-1,83,33,33,66,33,13
WALCOTT ISD,1,152,90,59,24,91,63,31,59,96,65,24,59,24,0,,,,,,,90,59,24,,,,,,,,,,,,,,,,88,49,20
COOPER ISD,3,847,71,42,16,72,49,19,73,68,35,13,73,38,7,68,44,29,52,24,11,62,37,15,75,46,18,79,32,0,-1,-1,-1,,,,67,37,12,65,36,12
FANNINDEL ISD,2,148,51,24,7,57,30,11,56,44,16,4,56,31,8,45,21,3,32,10,3,60,31,10,63,33,12,-1,-1,-1,,,,,,,44,11,0,50,23,7
NORTH TEXAS COLLEGIATE ACADEMY,3,695,62,34,18,68,38,22,54,60,30,14,54,33,15,56,39,22,70,35,21,52,25,10,82,58,36,-1,-1,-1,92,62,62,,,,62,23,0,62,33,18
LEADERSHIP PREP SCHOOL,2,1344,81,51,25,87,65,35,77,76,39,18,77,43,14,77,49,26,69,40,17,78,44,20,77,43,16,100,57,36,93,73,44,,,,86,50,31,74,46,13
TRIVIUM ACADEMY,1,553,85,60,36,88,69,43,84,83,54,29,84,59,33,83,50,37,58,34,17,76,49,28,91,65,39,,,,93,73,47,100,82,45,82,57,31,77,37,0
DENTON ISD,43,31771,73,46,22,76,54,25,73,68,37,17,73,44,19,75,51,29,59,30,11,67,38,15,84,61,32,72,46,18,89,71,42,73,47,19,83,50,25,61,32,12
LEWISVILLE ISD,62,49113,82,60,34,84,66,37,84,79,52,28,84,59,31,85,63,42,68,38,15,72,44,20,91,72,42,84,62,36,93,79,55,85,60,23,83,62,37,68,39,16
PILOT POINT ISD,4,1430,75,46,21,75,52,23,75,72,35,13,75,44,16,83,60,40,51,27,22,69,37,15,82,56,27,80,60,10,-1,-1,-1,,,,80,57,29,68,37,16
KRUM ISD,6,2217,76,49,22,75,54,25,83,75,41,18,83,56,22,77,50,23,64,30,15,67,38,14,81,56,26,63,47,0,91,81,44,-1,-1,-1,85,56,26,69,39,17
PONDER ISD,3,1574,80,52,23,79,55,25,82,83,50,23,82,52,19,75,43,23,85,38,4,72,42,17,85,58,27,87,53,27,100,88,63,,,,74,40,21,73,39,15
AUBREY ISD,5,3101,81,54,24,81,58,28,85,77,46,20,85,57,22,84,56,26,63,33,14,77,48,18,86,61,28,80,13,0,74,61,35,100,83,67,84,55,28,69,40,14
SANGER ISD,7,2746,80,52,23,82,59,27,81,79,43,17,81,54,21,76,50,33,68,37,12,74,41,16,84,58,27,88,63,38,86,81,52,100,100,60,83,57,25,72,41,15
ARGYLE ISD,5,4314,93,76,45,93,78,44,96,93,73,44,96,80,42,94,75,57,83,63,35,86,65,35,95,78,47,86,83,52,98,87,54,71,43,29,95,78,48,79,50,24
NORTHWEST ISD,32,27479,82,57,29,83,63,32,84,79,49,23,84,59,29,87,63,43,72,44,19,76,49,22,86,63,33,79,58,35,91,72,46,84,57,33,78,50,25,68,39,16
LAKE DALLAS ISD,5,3999,76,45,19,76,52,22,78,71,34,13,78,44,14,85,57,34,65,32,10,70,37,14,82,53,24,69,51,23,84,64,41,,,,74,45,16,67,33,12
LITTLE ELM ISD,9,8245,72,43,20,73,49,23,75,67,33,14,75,46,21,74,47,28,64,33,13,65,35,14,81,54,27,81,60,23,89,70,46,89,50,28,82,53,30,61,31,12
CUERO ISD,4,1920,75,47,19,74,50,20,81,73,40,16,81,47,18,80,55,30,64,34,8,72,40,15,82,57,26,-1,-1,-1,73,47,40,,,,78,56,19,67,37,13
NORDHEIM ISD,1,148,74,45,25,75,55,33,64,77,44,23,64,28,11,76,41,18,-1,-1,-1,67,31,15,78,56,33,,,,,,,,,,-1,-1,-1,63,35,15
YOAKUM ISD,5,1496,80,52,23,77,53,22,83,84,52,25,83,50,19,78,48,27,65,37,14,80,49,19,85,62,35,-1,-1,-1,-1,-1,-1,,,,77,48,27,78,48,20
YORKTOWN ISD,3,535,67,35,13,67,39,15,70,65,30,10,70,30,7,71,44,21,50,20,5,59,26,8,76,45,18,60,60,0,,,,,,,73,55,18,59,28,9
WESTHOFF ISD,1,71,89,71,36,94,79,47,100,88,68,32,100,80,30,40,20,0,-1,-1,-1,90,67,33,88,75,39,,,,,,,,,,,,,88,64,28
MEYERSVILLE ISD,1,144,90,63,38,93,70,51,78,93,60,30,78,61,33,73,45,18,-1,-1,-1,85,58,23,93,66,42,,,,,,,,,,,,,80,45,18
SPUR ISD,1,221,77,49,23,79,62,31,76,76,42,20,76,38,14,74,40,16,-1,-1,-1,71,38,20,82,57,26,,,,,,,,,,75,46,18,74,42,18
PATTON SPRINGS ISD,1,86,84,55,23,79,57,23,91,85,55,25,91,52,9,91,55,45,-1,-1,-1,82,50,23,85,58,23,,,,,,,,,,,,,82,50,19
CARRIZO SPRINGS CISD,4,1920,66,36,13,65,41,15,68,64,31,11,68,28,9,70,43,20,88,53,18,65,35,13,71,45,23,-1,-1,-1,-1,-1,-1,,,,92,69,23,61,32,11
CLARENDON ISD,3,456,83,57,27,83,62,31,85,83,54,25,85,57,25,77,50,23,47,18,0,89,59,29,85,62,29,-1,-1,-1,,,,,,,86,44,33,75,45,19
HEDLEY ISD,1,124,81,52,22,86,59,28,70,81,60,24,70,30,5,79,42,16,,,,68,38,10,86,59,26,,,,,,,,,,83,33,33,79,51,22
RAMIREZ CSD,1,26,55,32,16,57,36,21,-1,50,29,14,-1,-1,-1,,,,,,,55,32,16,,,,,,,,,,,,,,,,55,32,16
BENAVIDES ISD,2,233,66,33,10,74,50,16,75,49,18,4,75,29,8,70,23,11,,,,66,33,10,-1,-1,-1,,,,,,,,,,,,,63,30,9
SAN DIEGO ISD,3,1453,65,37,15,65,40,15,68,66,36,15,68,35,16,62,29,11,,,,65,36,15,97,71,39,,,,-1,-1,-1,,,,-1,-1,-1,63,35,14
FREER ISD,3,760,69,35,12,69,42,14,69,67,30,10,69,25,6,77,43,25,80,20,20,68,34,11,84,60,28,-1,-1,-1,,,,,,,-1,-1,-1,64,29,9
CISCO ISD,4,812,87,62,32,90,68,36,85,86,52,27,85,66,27,85,63,42,50,20,0,82,59,23,88,63,34,89,22,11,100,80,80,,,,100,83,33,82,51,21
EASTLAND ISD,3,1078,80,49,19,81,56,23,84,77,39,14,84,53,16,81,47,22,50,0,0,74,39,11,84,54,23,,,,83,67,39,-1,-1,-1,71,42,8,74,40,13
GORMAN ISD,3,265,73,47,21,74,52,24,78,70,40,15,78,52,28,76,47,20,-1,-1,-1,76,49,17,71,46,23,,,,,,,,,,88,50,13,63,38,16
RANGER ISD,3,333,62,32,11,62,36,10,67,55,23,6,67,32,12,76,46,26,33,33,27,60,32,8,65,33,12,-1,-1,-1,,,,,,,43,29,0,60,30,10
RISING STAR ISD,2,191,61,31,12,66,40,19,64,55,25,9,64,23,5,50,21,4,-1,-1,-1,72,28,11,59,32,12,,,,-1,-1,-1,,,,-1,-1,-1,49,22,6
COMPASS ACADEMY CHARTER SCHOOL,1,1371,81,49,22,83,56,28,80,76,40,15,80,46,18,87,58,30,67,29,14,77,44,19,84,52,24,100,43,14,100,80,70,,,,72,41,21,75,42,15
UTPB STEM ACADEMY,1,763,83,51,25,87,59,28,86,77,40,18,86,55,27,88,58,34,83,67,67,83,46,20,83,56,28,60,40,20,100,100,88,-1,-1,-1,92,64,39,82,54,25
ECTOR COUNTY ISD,44,31762,61,33,13,61,36,15,64,61,30,12,64,32,11,54,28,13,53,26,9,60,31,12,70,43,20,70,38,14,86,71,47,57,24,10,65,42,19,57,28,11
ROCKSPRINGS ISD,1,257,59,27,9,62,40,13,60,55,17,6,60,9,0,59,34,19,,,,53,21,5,82,49,23,,,,,,,,,,,,,51,20,5
NUECES CANYON CISD,2,254,80,54,25,86,64,28,82,70,40,18,82,50,20,95,68,42,,,,76,42,18,84,62,29,-1,-1,-1,,,,,,,-1,-1,-1,76,49,21
WAXAHACHIE FAITH FAMILY ACADEMY,2,2582,47,19,6,46,23,8,52,44,15,5,52,16,4,52,18,5,43,18,5,48,18,6,63,32,12,63,50,0,56,22,7,,,,48,22,17,47,19,6
AVALON ISD,1,339,67,35,10,69,40,14,67,65,29,6,67,36,7,67,33,13,-1,-1,-1,64,32,4,69,38,15,,,,-1,-1,-1,,,,-1,-1,-1,60,25,6
ENNIS ISD,10,5999,72,43,19,71,45,20,73,73,41,18,73,40,14,69,42,21,55,25,9,71,41,17,83,57,28,60,20,10,85,56,31,64,31,10,74,46,18,73,44,19
FERRIS ISD,5,2625,72,39,15,72,45,17,72,73,34,13,72,36,11,73,39,19,75,36,12,71,39,15,76,43,18,88,75,50,85,54,8,100,86,14,73,42,11,70,37,13
ITALY ISD,2,647,67,37,14,68,44,17,72,66,31,10,72,32,9,61,40,20,48,16,4,66,33,12,73,45,17,-1,-1,-1,,,,-1,-1,-1,65,39,17,60,29,9
MIDLOTHIAN ISD,13,10391,81,55,26,81,57,26,83,82,52,25,83,55,25,81,56,33,73,45,18,76,46,21,85,60,30,77,45,13,81,70,37,100,80,60,80,52,24,70,39,16
MILFORD ISD,1,238,59,28,12,73,35,17,49,48,22,10,49,22,5,54,28,13,56,23,11,63,27,9,57,30,15,,,,,,,,,,52,32,23,55,23,8
PALMER ISD,3,1252,84,58,27,84,60,31,86,85,57,23,86,59,25,80,51,26,89,69,34,79,51,23,89,63,30,80,60,0,57,43,0,,,,87,57,22,78,47,19
RED OAK ISD,7,6287,73,45,20,74,48,21,73,71,43,19,73,44,19,71,45,25,68,39,15,72,43,18,79,56,29,84,63,32,75,49,35,,,,83,59,31,66,37,15
WAXAHACHIE ISD,17,10065,76,48,22,78,54,24,77,73,41,17,77,47,21,80,53,33,68,36,13,72,43,19,83,57,28,66,34,14,96,88,49,94,65,39,79,50,25,67,36,14
MAYPEARL ISD,4,1176,77,49,21,76,53,23,77,77,44,14,77,44,16,82,58,38,73,40,27,70,44,18,79,51,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,49,21,66,34,13
BURNHAM WOOD CHARTER SCHOOL DISTRICT,3,1376,80,50,22,80,56,24,80,80,48,24,80,41,13,73,41,23,90,85,70,79,49,21,82,57,24,-1,-1,-1,-1,-1,-1,,,,97,67,45,77,46,19
TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,2,198,80,51,8,70,53,5,77,100,59,18,77,41,14,91,48,8,,,,78,49,9,-1,-1,-1,,,,,,,,,,,,,80,52,10
EL PASO ACADEMY,2,272,85,52,14,72,49,4,88,91,43,19,88,43,6,95,63,26,,,,84,50,13,100,80,30,,,,-1,-1,-1,,,,-1,-1,-1,83,47,11
HARMONY PUBLIC SCHOOLS - WEST TEXAS,6,4569,78,50,23,80,56,27,75,78,46,21,75,46,19,76,44,25,72,45,20,78,49,23,82,54,29,62,62,23,96,72,43,,,,88,57,24,75,45,20
LA FE PREPARATORY SCHOOL,1,190,72,44,26,66,40,29,71,79,50,23,71,38,24,,,,,,,72,43,24,-1,-1,-1,,,,,,,,,,,,,72,43,24
VISTA DEL FUTURO CHARTER SCHOOL,1,340,73,45,26,78,56,35,71,69,34,18,71,38,22,,,,100,91,82,73,44,24,82,46,29,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,73,40,24
EL PASO LEADERSHIP ACADEMY,3,266,54,19,7,59,26,12,68,57,16,4,68,26,7,20,3,0,100,88,50,53,18,6,55,18,0,,,,,,,,,,83,17,0,51,17,6
CLINT ISD,14,10455,66,35,14,65,38,14,69,64,29,11,69,34,13,68,40,20,72,44,13,66,35,14,65,35,15,56,22,11,100,92,75,0,0,0,59,29,9,64,33,12
EL PASO ISD,79,50709,72,44,19,72,49,21,72,71,38,17,72,39,14,72,44,24,74,45,20,70,41,17,84,62,33,65,34,16,94,80,51,77,51,21,85,59,32,66,36,14
FABENS ISD,4,1983,62,31,11,60,32,11,62,68,32,12,62,22,5,52,33,18,,,,62,31,11,80,50,20,,,,,,,,,,,,,60,29,10
SAN ELIZARIO ISD,6,3190,64,33,11,62,38,12,67,64,28,9,67,30,9,64,32,14,56,56,0,64,33,11,82,64,45,,,,,,,,,,,,,63,32,10
YSLETA ISD,54,37211,76,47,21,75,51,22,77,77,44,21,77,46,18,76,48,26,73,42,18,76,47,21,83,58,28,78,43,17,90,74,41,71,44,24,86,59,26,73,43,18
ANTHONY ISD,3,798,75,41,15,76,47,19,74,78,38,13,74,39,10,64,33,15,50,17,17,75,41,15,65,40,25,,,,,,,,,,75,50,25,71,39,13
CANUTILLO ISD,10,6076,76,48,22,75,52,23,79,73,40,18,79,48,20,82,52,30,87,55,27,75,47,21,86,59,34,90,70,10,90,67,57,100,88,38,85,59,32,70,40,16
TORNILLO ISD,4,887,59,27,9,61,34,11,53,58,22,7,53,19,5,66,28,11,,,,59,28,9,-1,-1,-1,,,,,,,,,,,,,58,27,9
SOCORRO ISD,50,47137,77,46,20,77,52,22,77,75,39,16,77,43,15,79,51,29,77,48,21,76,45,19,83,57,30,71,44,19,91,70,40,81,61,37,86,59,30,74,42,17
PREMIER HIGH SCHOOLS,40,6822,70,41,10,66,47,5,76,53,19,8,76,36,6,82,49,21,65,35,5,70,39,9,71,46,14,54,54,0,85,61,21,60,0,0,80,58,18,71,40,9
