DISTRICT NAME,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % WRITING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD
CAYUGA ISD,85,60,30,83,64,32,76,42,13,89,67,37,86,52,21,81,54,26
ELKHART ISD,83,54,25,83,57,28,78,52,23,84,50,23,80,53,21,91,64,32
FRANKSTON ISD,79,52,23,76,52,21,67,32,4,85,55,25,80,52,24,81,62,43
NECHES ISD,83,53,23,78,52,22,73,38,7,89,58,26,93,57,31,81,51,23
PALESTINE ISD,66,38,16,64,39,15,51,23,4,69,37,17,71,43,18,70,45,24
WESTWOOD ISD,60,32,11,56,32,10,48,19,2,60,28,11,70,41,13,75,41,17
SLOCUM ISD,81,49,20,83,57,25,79,42,9,77,35,14,85,52,16,86,64,31
ANDREWS ISD,71,42,17,70,44,16,61,29,5,74,42,19,71,42,18,72,47,27
PINEYWOODS COMMUNITY ACADEMY,75,49,24,75,50,23,57,33,10,78,49,26,79,51,24,76,54,32
HUDSON ISD,84,58,28,83,57,26,70,37,13,87,64,33,90,62,28,88,60,34
LUFKIN ISD,68,42,19,67,41,16,55,29,7,68,40,19,74,48,22,79,57,37
HUNTINGTON ISD,73,44,19,71,44,18,63,31,7,76,47,22,79,47,21,70,45,20
DIBOLL ISD,72,41,16,69,40,13,56,22,5,77,46,20,78,43,16,76,44,24
ZAVALLA ISD,68,38,14,69,43,17,58,29,8,69,37,15,70,37,11,62,38,11
CENTRAL ISD,72,43,17,72,47,19,68,35,6,74,43,18,71,37,14,75,48,21
ARANSAS COUNTY ISD,60,33,13,62,37,14,54,26,7,55,27,10,61,35,12,71,47,27
ARCHER CITY ISD,87,61,31,86,65,34,90,60,19,89,57,33,94,67,29,78,54,28
HOLLIDAY ISD,84,59,27,83,61,27,74,38,10,84,57,27,88,63,23,92,75,43
WINDTHORST ISD,85,64,30,84,61,29,76,58,18,84,67,33,93,66,31,86,61,33
CLAUDE ISD,88,61,33,86,59,27,77,51,19,93,65,42,92,67,38,80,53,29
CHARLOTTE ISD,63,34,15,58,34,13,46,11,2,69,38,21,74,36,14,62,37,17
JOURDANTON ISD,74,45,21,76,45,18,55,29,8,74,46,24,80,47,21,76,56,35
LYTLE ISD,61,28,8,61,31,10,49,23,6,60,24,7,65,30,8,65,30,11
PLEASANTON ISD,66,39,16,64,39,13,42,18,6,67,36,16,76,48,19,80,52,31
POTEET ISD,58,30,10,63,35,11,56,26,6,54,27,9,59,25,7,56,30,12
BELLVILLE ISD,69,42,17,69,46,18,68,40,12,64,35,17,72,42,13,78,50,27
SEALY ISD,70,41,17,67,42,16,50,22,5,73,39,17,76,45,19,82,58,27
BRAZOS ISD,79,52,23,77,51,20,66,34,10,79,53,27,81,54,28,90,63,32
MULESHOE ISD,62,34,14,61,35,11,48,19,4,64,33,19,71,42,16,60,37,18
MEDINA ISD,77,42,15,77,48,17,68,29,6,71,31,9,83,46,13,91,64,33
BANDERA ISD,65,38,16,65,42,16,53,25,8,62,31,14,71,43,15,72,49,31
BASTROP ISD,53,29,11,53,31,10,38,15,3,52,26,10,60,34,13,61,37,19
ELGIN ISD,50,25,7,53,29,8,34,12,1,43,18,6,54,28,8,63,35,14
SMITHVILLE ISD,69,44,18,68,45,17,60,33,9,71,44,19,76,48,18,69,43,24
MCDADE ISD,68,37,14,73,44,16,54,24,0,58,25,12,84,48,12,84,55,32
SEYMOUR ISD,81,54,25,80,50,21,80,57,18,82,56,31,82,53,19,87,64,43
ST MARY'S ACADEMY CHARTER SCHOOL,67,29,12,80,42,22,52,21,0,60,23,7,50,9,0,,,
BEEVILLE ISD,63,32,11,66,40,13,52,19,4,57,23,8,66,30,7,76,45,21
PAWNEE ISD,62,28,15,65,30,21,40,24,8,60,26,10,81,29,19,70,40,10
PETTUS ISD,65,33,11,68,38,12,47,15,2,63,30,11,70,38,12,77,34,11
SKIDMORE-TYNAN ISD,74,42,17,75,48,20,65,37,8,68,32,12,82,49,18,83,46,27
RICHARD MILBURN ALTER HIGH SCHOOL,36,12,2,31,13,0,,,,21,2,1,41,7,1,58,20,6
PRIORITY CHARTER SCHOOLS,61,33,14,65,38,16,60,28,7,53,29,14,62,28,14,65,35,19
ORENDA CHARTER SCHOOL,86,57,26,89,66,29,78,44,11,81,47,18,88,59,28,93,74,52
ACADEMY ISD,75,45,19,74,48,20,55,28,5,74,41,17,87,57,24,83,49,25
BARTLETT ISD,52,22,6,55,25,8,45,19,9,43,13,3,63,26,5,66,37,14
BELTON ISD,72,45,20,72,49,20,62,34,12,69,40,18,79,52,24,78,52,29
HOLLAND ISD,83,55,23,80,53,21,77,42,7,83,54,25,91,67,25,83,59,37
KILLEEN ISD,66,37,14,67,41,15,56,25,5,64,32,13,69,38,15,73,48,27
ROGERS ISD,74,45,20,76,48,19,67,35,5,72,39,19,82,55,29,70,46,27
SALADO ISD,79,50,23,79,54,24,71,39,12,78,45,22,83,54,27,83,55,28
TEMPLE ISD,60,33,14,57,33,12,48,19,5,62,33,14,67,38,15,66,43,26
TROY ISD,77,48,20,78,48,19,73,44,13,74,45,20,86,55,24,75,50,32
POR VIDA ACADEMY,43,14,1,36,19,0,,,,19,0,0,61,4,0,61,18,5
GEORGE GERVIN ACADEMY,55,23,6,59,27,7,49,16,3,53,22,5,47,15,3,56,36,10
NEW FRONTIERS PUBLIC SCHOOLS INC,61,32,10,69,41,9,44,10,2,43,16,6,68,39,11,78,49,28
SCHOOL OF EXCELLENCE IN EDUCATION,46,18,7,51,22,9,31,19,2,40,11,5,49,19,8,56,28,5
SOUTHWEST PREPARATORY SCHOOL,41,15,4,46,23,7,38,10,2,32,7,2,37,12,3,56,22,8
INSPIRE ACADEMIES,64,35,14,66,43,18,40,24,4,53,21,9,79,32,5,82,59,41
BEXAR COUNTY ACADEMY,37,11,1,45,13,3,24,10,0,32,8,0,47,13,0,31,8,0
POSITIVE SOLUTIONS CHARTER SCHOOL,41,15,3,33,19,1,,,,25,0,0,50,9,0,62,27,15
HERITAGE ACADEMY,63,30,11,64,36,14,62,20,6,61,24,10,57,20,4,76,47,20
JUBILEE ACADEMIES,44,18,6,50,23,9,37,13,2,38,13,4,43,14,5,47,24,10
LIGHTHOUSE PUBLIC SCHOOLS,41,19,5,45,22,8,29,11,0,44,22,5,44,16,7,29,4,0
SCHOOL OF SCIENCE AND TECHNOLOGY,56,27,10,65,36,14,46,17,2,49,20,7,56,28,10,59,33,19
HARMONY SCIENCE ACAD (SAN ANTONIO),56,29,10,59,35,10,46,18,4,50,21,7,60,29,10,68,40,20
BROOKS ACADEMIES OF TEXAS,52,24,8,63,34,12,51,18,3,40,12,4,53,24,6,55,31,14
SCHOOL OF SCIENCE AND TECHNOLOGY D,59,30,12,68,38,17,55,21,5,52,24,9,61,27,8,52,28,15
HENRY FORD ACADEMY ALAMEDA SCHOOL,83,62,17,86,74,10,,,,47,5,0,88,59,0,97,84,45
BASIS TEXAS,91,71,44,93,75,47,89,64,28,89,70,43,90,69,50,94,75,60
GREAT HEARTS TEXAS,81,53,26,86,59,31,75,46,13,81,50,25,76,44,19,86,63,37
ELEANOR KOLITZ HEBREW LANGUAGE ACA,86,59,30,91,70,42,84,61,25,83,53,23,81,45,16,85,35,20
COMPASS ROSE ACADEMY,41,19,4,47,28,6,29,8,2,30,11,3,59,20,3,40,20,20
PROMESA ACADEMY CHARTER SCHOOL,,,,,,,,,,,,,,,,,,
SAN ANTONIO PREPARATORY CHARTER SC,36,11,4,45,16,7,32,7,5,34,10,2,13,0,0,,,
THE GATHERING PLACE,,,,,,,,,,,,,,,,,,
ALAMO HEIGHTS ISD,80,57,27,82,64,31,73,45,15,79,53,26,83,54,23,80,59,38
HARLANDALE ISD,53,25,8,56,29,8,37,11,1,49,20,7,59,28,8,63,35,14
EDGEWOOD ISD,41,17,5,44,22,7,24,7,1,36,12,3,46,15,4,47,24,9
RANDOLPH FIELD ISD,89,64,32,90,68,32,85,51,15,89,60,29,95,70,41,85,65,42
SAN ANTONIO ISD,44,20,6,48,25,7,32,12,3,37,13,4,46,19,5,59,33,14
SOUTH SAN ANTONIO ISD,43,20,6,45,23,6,30,10,1,37,13,5,49,21,6,60,33,14
SOMERSET ISD,69,40,15,69,41,14,58,26,5,73,42,20,70,40,13,71,43,18
NORTH EAST ISD,72,47,22,74,53,24,62,34,11,68,39,17,77,51,25,79,57,36
EAST CENTRAL ISD,50,23,7,53,28,8,39,16,3,44,17,5,55,24,6,57,31,15
SOUTHWEST ISD,55,28,9,58,33,11,47,21,4,50,22,8,54,26,8,63,36,16
LACKLAND ISD,81,50,23,83,56,27,78,42,8,75,43,20,85,50,22,91,61,38
FT SAM HOUSTON ISD,79,50,21,82,59,23,67,33,11,74,39,16,84,55,24,88,62,38
NORTHSIDE ISD,67,40,16,70,46,17,55,27,7,60,29,11,72,44,18,79,56,33
JUDSON ISD,59,31,11,62,36,12,49,21,5,53,22,7,62,32,10,73,47,24
SOUTHSIDE ISD,48,22,8,51,27,10,37,14,3,42,17,6,53,25,9,56,27,10
JOHNSON CITY ISD,82,54,22,79,55,22,68,38,9,84,52,20,85,55,23,90,73,35
BLANCO ISD,76,48,19,75,49,18,57,27,6,77,43,16,83,62,26,82,56,33
BORDEN COUNTY ISD,92,61,30,95,66,36,81,44,13,90,59,34,93,67,24,97,48,17
CLIFTON ISD,74,46,19,72,46,18,59,31,5,76,42,16,76,52,25,82,63,36
MERIDIAN ISD,66,34,11,71,40,12,62,29,5,58,29,12,75,30,11,65,31,13
MORGAN ISD,60,31,9,55,29,4,38,14,5,59,26,15,83,43,0,81,52,24
VALLEY MILLS ISD,73,45,15,74,48,13,65,33,5,74,43,18,77,50,13,69,45,24
WALNUT SPRINGS ISD,60,29,6,63,33,6,41,9,0,58,26,4,54,30,5,80,40,20
IREDELL ISD,69,40,15,73,52,20,62,19,0,63,30,11,71,39,13,85,54,31
KOPPERL ISD,59,34,9,65,45,11,55,23,5,50,26,6,72,36,8,48,26,13
CRANFILLS GAP ISD,71,41,12,70,43,14,65,35,10,69,41,11,77,45,9,82,36,18
DEKALB ISD,71,39,14,65,39,16,72,33,8,81,44,16,69,33,10,59,34,18
HOOKS ISD,79,50,19,82,56,22,74,47,15,78,47,19,76,40,9,81,53,29
MAUD ISD,81,54,22,80,59,22,69,35,13,82,54,26,93,60,23,73,42,18
NEW BOSTON ISD,65,38,15,63,39,14,48,23,4,64,34,14,76,45,20,78,49,23
REDWATER ISD,81,54,26,76,52,20,70,34,8,85,58,31,86,59,31,84,59,39
TEXARKANA ISD,67,41,18,67,44,19,55,27,8,67,38,16,73,46,19,76,53,30
LIBERTY-EYLAU ISD,48,24,7,46,25,8,32,14,1,48,19,5,57,33,12,60,32,13
SIMMS ISD,79,46,19,75,46,20,68,23,3,89,53,23,75,47,16,76,49,21
MALTA ISD,85,46,25,90,49,30,69,38,15,84,48,23,89,33,22,,,
RED LICK ISD,89,60,30,91,59,37,89,71,31,90,61,27,86,55,22,81,42,22
PLEASANT GROVE ISD,87,63,30,87,67,31,83,50,15,90,64,34,89,65,30,81,55,31
HUBBARD ISD,70,42,26,73,41,30,45,27,9,76,51,24,67,40,33,71,29,29
LEARY ISD,61,26,12,68,32,16,58,25,0,55,20,14,69,31,8,-1,-1,-1
ALVIN ISD,73,46,21,74,50,22,65,36,12,71,40,18,78,51,24,76,51,31
ANGLETON ISD,72,43,17,73,47,17,63,29,7,69,36,16,80,53,21,70,45,24
DANBURY ISD,75,44,17,75,47,14,72,37,13,73,38,15,72,39,12,84,65,38
BRAZOSPORT ISD,70,42,18,67,43,16,60,28,7,75,44,20,73,45,20,72,43,24
SWEENY ISD,66,39,14,68,43,15,52,28,5,64,32,13,77,47,18,65,38,17
COLUMBIA-BRAZORIA ISD,62,35,15,59,36,14,42,18,3,64,37,17,72,40,15,64,38,21
PEARLAND ISD,83,61,34,83,61,31,77,52,21,83,59,35,87,69,43,84,63,41
DAMON ISD,43,23,10,40,26,9,35,17,4,52,28,17,35,12,6,33,0,0
BRAZOS SCHOOL FOR INQUIRY & CREATI,48,18,5,39,17,6,67,19,4,44,21,6,33,17,0,,,
ARROW ACADEMY,59,26,11,67,36,17,48,20,2,55,21,9,51,16,2,,,
COLLEGE STATION ISD,81,58,33,79,58,30,69,41,16,82,59,34,85,64,39,84,66,49
BRYAN ISD,60,34,13,59,34,13,53,25,6,60,31,13,68,39,14,64,41,23
TERLINGUA CSD,53,24,10,52,26,6,17,0,0,50,14,6,79,53,26,61,33,22
ALPINE ISD,78,51,24,80,56,22,54,25,5,74,43,20,87,58,24,90,69,55
MARATHON ISD,73,38,13,75,42,14,86,29,0,60,20,4,78,56,17,79,43,29
SAN VICENTE ISD,75,38,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,
SILVERTON ISD,79,51,23,77,52,20,71,39,4,82,52,32,85,58,21,77,50,23
BROOKS COUNTY ISD,50,23,7,52,28,8,40,12,1,44,19,7,58,24,6,58,28,10
BANGS ISD,79,53,22,81,57,23,72,43,10,79,52,23,84,54,22,77,50,31
BROWNWOOD ISD,69,44,19,67,44,16,55,28,5,72,46,22,73,47,22,76,49,25
BLANKET ISD,63,32,9,65,38,8,48,17,9,59,16,4,64,36,6,80,65,30
MAY ISD,77,46,17,78,48,13,72,40,4,71,29,12,82,55,18,85,73,49
ZEPHYR ISD,74,45,20,75,49,23,50,25,11,71,41,20,79,44,10,95,67,38
BROOKESMITH ISD,61,34,16,64,36,19,45,31,7,63,38,21,65,29,10,56,25,13
EARLY ISD,85,55,23,85,58,25,73,34,5,85,53,22,90,56,21,94,71,46
CALDWELL ISD,73,45,20,72,46,18,55,30,10,77,45,21,75,46,22,81,54,33
