DISTRICT NAME,TOTAL STUDENTS,DISTRICT ACCOUNTABILITY RATINGS,4-YR LONGITUDINAL GRADUATION RATE DISTRICT EXCL,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,COLLEGE ADMISSIONS: % TESTED,COLLEGE ADMISSIONS: % AT/ABOVE CRITERION,ATTENDANCE RATE 
GRAPELAND ISD,631,B,100,72,48,19,76,40,17,12.2,40,94.5
LOVELADY ISD,504,B,100,88,64,31,86,42,16,86.2,12,97.3
LATEXO ISD,488,A,97.1,82,59,24,75,42,15,100,24.3,95.1
KENNARD ISD,246,A,100,84,59,24,83,53,20,57.9,36.4,95.1
BIG SPRING ISD,3629,C,83.7,65,41,15,67,36,15,24.1,17.7,92.4
COAHOMA ISD,1084,C,100,71,45,19,69,32,10,38,22.2,95
FORSAN ISD,764,A,97.7,84,61,32,79,44,18,46.3,47.4,96.5
FT HANCOCK ISD,400,B,100,71,46,16,71,27,6,90.9,5,95.3
SIERRA BLANCA ISD,118,B,87.5,75,43,14,74,37,13,0,,92.6
DELL CITY ISD,66,A,60,78,47,22,68,39,29,-1,,95.4
CADDO MILLS ISD,2227,A,98.5,88,67,35,88,56,26,91.3,34.9,97.2
CELESTE ISD,483,B,97.4,79,57,23,73,44,20,38.5,46.7,96.9
COMMERCE ISD,1440,B,93.9,64,38,17,55,22,9,27.4,24.1,93.4
GREENVILLE ISD,5320,C,95.1,60,37,15,58,24,9,29.6,29.7,95.2
LONE OAK ISD,1025,A,100,78,57,26,81,48,19,80.2,26.2,96.6
QUINLAN ISD,2575,B,93.8,69,44,20,63,29,12,37.7,16.4,93.8
WOLFE CITY ISD,701,B,97.7,78,53,24,82,43,17,32.6,35.7,96.4
CAMPBELL ISD,303,C,100,58,32,12,47,16,5,10.7,-1,93.3
BLAND ISD,761,A,96.3,84,60,29,87,55,26,63.5,36.4,97.3
BOLES ISD,529,B,100,76,45,18,75,31,10,89.2,15.2,96.4
BORGER ISD,2493,B,98.4,77,52,22,78,45,20,73.1,9.7,94.1
SANFORD-FRITCH ISD,692,B,95.8,77,52,24,72,36,14,82.6,15.8,93.9
PLEMONS-STINNETT-PHILLIPS CISD,621,A,100,77,52,24,80,44,20,56.2,36.6,93.5
SPRING CREEK ISD,96,B,,84,59,22,80,36,16,,,96.9
IRION COUNTY ISD,334,A,100,89,73,44,86,58,32,95.8,17.4,96.6
BRYSON ISD,252,A,100,86,68,31,79,53,25,19,-1,94.7
JACKSBORO ISD,1077,B,96.6,70,47,19,71,35,10,82.5,34,95.6
PERRIN-WHITT CISD,322,A,100,83,56,20,84,39,11,100,7.4,96
EDNA ISD,1549,B,96.8,77,51,21,80,52,28,68.4,16.9,94.3
GANADO ISD,736,B,95.7,83,55,25,78,43,19,68.9,6.5,96.2
INDUSTRIAL ISD,1156,A,98.8,94,76,39,95,72,35,83.5,36.6,95.9
BROOKELAND ISD,369,B,84,87,62,29,83,44,18,45.5,40,94.5
BUNA ISD,1483,B,92.5,78,54,24,77,38,15,83.7,22,94.8
JASPER ISD,2166,Not Rated: Senate Bill 1365,96.3,54,31,9,49,23,9,52.9,20.7,91.2
KIRBYVILLE CISD,1450,B,97.7,74,48,20,79,44,20,36.9,41.9,94.6
EVADALE ISD,397,A,100,75,51,22,78,45,15,80,21.4,95.4
FT DAVIS ISD,176,B,100,62,41,19,70,31,10,69.2,0,95.9
VALENTINE ISD,35,A,-1,82,68,45,84,74,16,-1,,97.2
TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,366,B,80,73,46,10,52,15,2,5.6,-1,94.4
EHRHART SCHOOL,507,B,,86,63,32,76,36,15,,,96.5
BOB HOPE SCHOOL,2362,A,100,82,54,24,76,41,20,100,16.3,96.6
NEDERLAND ISD,4983,A,94.9,84,64,33,84,57,28,56.3,35.2,96
PORT ARTHUR ISD,7840,C,80.6,59,33,12,55,23,9,52.5,11,92.6
PORT NECHES-GROVES ISD,5186,B,94.5,80,55,24,77,41,17,59.8,27.6,92.4
BEAUMONT ISD,16729,Not Rated: Senate Bill 1365,85.4,55,33,12,42,18,7,41.6,26,88.7
SABINE PASS ISD,365,B,100,88,65,34,85,44,12,90.6,27.6,96
HAMSHIRE-FANNETT ISD,1953,C,96.9,78,52,24,76,36,14,76,24.2,94.6
JIM HOGG COUNTY ISD,1076,A,98.6,71,43,18,76,47,21,79.7,5.5,91.4
ALICE ISD,4359,C,94.1,62,36,15,55,23,9,13.2,13.9,89.8
BEN BOLT-PALITO BLANCO ISD,495,B,94.7,73,48,16,64,23,8,94.1,3.1,96.1
ORANGE GROVE ISD,1770,A,97.9,78,56,27,78,49,25,77.4,15.3,94.5
PREMONT ISD,695,B,96.1,65,35,13,64,27,8,66.7,8.3,92.2
LA GLORIA ISD,94,B,,89,73,34,70,30,7,,,97.2
ALVARADO ISD,3595,C,97.5,69,44,16,70,34,14,36.4,32.1,95.6
BURLESON ISD,12693,B,94.5,78,55,26,77,45,22,58.3,27,95
CLEBURNE ISD,7036,B,92.2,70,44,17,68,35,13,26.3,39.3,93.6
GRANDVIEW ISD,1364,A,100,86,65,29,90,64,30,56.8,46.3,96.9
JOSHUA ISD,5862,A,98.1,82,60,30,85,55,26,88.9,25.3,95.9
KEENE ISD,1016,B,97.5,80,54,22,78,43,14,23,30,93.8
RIO VISTA ISD,817,B,100,73,50,20,72,39,20,34,33.3,96.3
VENUS ISD,2300,B,88.1,67,37,12,61,25,8,29.2,25.7,96.2
GODLEY ISD,2598,B,98.6,73,43,18,72,35,14,76.2,23.2,94.9
ANSON ISD,739,B,100,75,49,19,70,34,11,78.9,22.2,95.1
HAMLIN COLLEGIATE ISD,430,B,96,65,43,14,66,33,14,89.7,19.2,95.2
HAWLEY ISD,765,C,100,77,46,17,71,30,9,96.2,10,95.9
LUEDERS-AVOCA ISD,96,A,85.7,76,55,24,80,35,15,83.3,0,94
STAMFORD ISD,620,A,93.8,82,56,23,82,45,19,68.9,9.7,96.1
KARNES CITY ISD,1048,B,76,71,42,15,68,35,17,20.2,35,78
KENEDY ISD,733,B,94.1,71,43,14,75,37,15,62.7,3.1,94.3
RUNGE ISD,217,C,92.9,62,35,8,38,14,5,69.2,11.1,91.8
FALLS CITY ISD,428,A,100,96,82,45,96,81,51,80,40,98.3
CRANDALL ISD,5439,B,98.2,74,50,22,67,33,15,27.1,31.2,95.9
FORNEY ISD,14314,B,96.8,75,53,25,70,39,19,55.3,35.1,96.1
KAUFMAN ISD,4093,A,98.1,77,52,23,76,44,20,31.7,31.1,95
KEMP ISD,1689,C,96.4,70,41,16,65,31,12,34.9,25,93.6
MABANK ISD,3653,A,97.2,78,54,24,81,51,24,26.8,50,93.1
TERRELL ISD,4962,B,90.8,64,39,14,56,23,9,22.3,23,91.3
SCURRY-ROSSER ISD,1083,B,97.3,82,58,24,86,54,23,74.3,21.2,92.2
MEADOWLAND CHARTER DISTRICT,79,Not Rated: Senate Bill 1365,66.7,75,17,0,71,14,0,-1,,87.5
BOERNE ISD,10268,A,99,89,72,40,88,64,34,93.2,54.9,97.8
COMFORT ISD,1067,B,98.9,76,50,19,68,29,9,65.9,37.5,96.2
KENEDY COUNTY WIDE CSD,101,B,,86,57,34,77,55,20,,,96.9
JAYTON-GIRARD ISD,169,A,100,97,80,43,92,59,29,72.7,0,94.9
CENTER POINT ISD,535,B,94.7,69,45,16,76,39,16,82.1,6.3,94.7
HUNT ISD,208,B,,91,63,41,91,56,29,,,97.4
KERRVILLE ISD,4808,B,95.7,80,60,30,78,48,24,74,37.6,95.2
INGRAM ISD,1172,A,98.4,83,57,25,87,54,27,100,23.1,96.6
DIVIDE ISD,32,B,,100,64,9,91,27,9,,,96.8
JUNCTION ISD,639,B,100,75,52,19,69,39,16,51.5,29.4,93.7
GUTHRIE CSD,132,A,100,96,78,43,89,66,23,100,42.9,96.5
BRACKETT ISD,531,B,97.5,88,62,25,76,37,11,47.4,38.9,95.4
KINGSVILLE ISD,2799,C,76,57,33,13,55,27,10,21.5,25,91.9
RICARDO ISD,622,A,,83,60,33,79,51,25,,,96.7
RIVIERA ISD,478,A,100,81,54,21,73,34,11,80,9.4,95
SANTA GERTRUDIS ISD,781,A,100,91,73,37,85,54,25,71.8,47.5,98.3
KNOX CITY-O'BRIEN CISD,228,B,100,78,49,21,84,49,23,100,14.3,96
MUNDAY CISD,379,B,93.3,80,53,24,75,43,19,78.6,18.2,96.7
BENJAMIN ISD,133,A,-1,90,66,25,91,57,36,-1,0,96.7
CHISUM ISD,1145,A,98.7,84,64,31,85,49,23,45.5,40,95.4
PARIS ISD,3807,B,94.9,70,45,19,68,38,17,37.3,29.3,92
NORTH LAMAR ISD,2380,C,92.3,74,49,21,75,43,17,40,29.4,94.4
PRAIRILAND ISD,1089,B,88.3,86,63,29,86,47,21,49.1,23.1,96.1
AMHERST ISD,126,B,87.5,72,42,12,37,15,9,85.7,0,95.7
LITTLEFIELD ISD,1233,B,98.8,76,47,17,69,33,13,97.7,4.7,96
OLTON ISD,582,B,98.1,78,48,18,68,26,10,79.2,19,94.9
SPRINGLAKE-EARTH ISD,296,B,100,77,50,21,75,39,17,18.8,-1,93.1
SUDAN ISD,483,A,100,87,60,31,85,57,26,79.2,21.1,96.7
LAMPASAS ISD,3403,A,98.8,80,57,28,81,48,19,61.4,27,94.7
LOMETA ISD,317,B,100,66,34,12,59,28,14,29.4,60,96.9
COTULLA ISD,1172,B,87.1,71,44,18,72,38,17,56.5,9.6,91.6
HALLETTSVILLE ISD,1147,A,97.8,81,60,23,87,60,31,71.1,32.8,95.8
MOULTON ISD,308,A,100,83,63,33,90,64,39,40,33.3,98
SHINER ISD,704,A,100,88,69,38,92,70,44,73.5,44,96.7
VYSEHRAD ISD,111,B,,95,64,35,89,69,40,,,98
SWEET HOME ISD,136,A,,93,75,48,95,62,26,,,97.3
EZZELL ISD,94,B,,83,56,35,88,54,29,,,97.7
GIDDINGS ISD,1920,A,97.7,80,55,23,79,49,22,46.2,37.7,94.6
LEXINGTON ISD,1093,A,95.3,80,59,29,85,52,21,100,21.8,97.6
DIME BOX ISD,181,C,80,72,43,15,66,28,12,91.7,0,98.5
BUFFALO ISD,1024,A,94.7,84,61,28,83,52,23,67.9,5.6,95.1
CENTERVILLE ISD,711,B,96.8,85,64,26,79,37,13,80,16.7,95.7
NORMANGEE ISD,625,B,100,76,53,21,76,42,16,67.8,25,95.4
OAKWOOD ISD,233,B,100,75,45,15,68,22,4,66.7,30,96.9
LEON ISD,717,A,94.6,82,57,26,81,51,22,67.3,29.7,95.5
CLEVELAND ISD,10851,B,93.6,56,32,11,55,22,7,81.2,7.9,92.1
DAYTON ISD,5603,C,93.2,65,38,15,65,32,13,53.5,13.9,93.2
DEVERS ISD,216,A,,99,90,64,100,84,56,,,97
HARDIN ISD,1280,B,98.6,77,52,21,68,30,12,33.3,26.1,94.2
HULL-DAISETTA ISD,433,C,100,62,31,11,57,21,6,100,14.3,91.4
LIBERTY ISD,2244,B,95.6,74,49,20,72,36,14,37.3,21.3,95.2
TARKINGTON ISD,1809,B,93,75,49,21,79,46,19,81.7,20.2,94.9
COOLIDGE ISD,302,A,100,87,55,21,78,42,18,6.7,-1,97
GROESBECK ISD,1543,B,98.1,71,46,18,69,38,15,53.5,18.9,95.4
MEXIA ISD,1855,B,82.5,67,40,13,60,27,11,56.2,1.7,91.9
BOOKER ISD,355,A,100,87,66,29,87,64,33,47.1,0,96.6
FOLLETT ISD,176,B,100,77,51,19,66,33,13,100,0,96
DARROUZETT ISD,149,B,-1,51,22,6,45,14,5,-1,-1,95
GEORGE WEST ISD,1036,A,90.9,88,70,37,88,59,31,54.2,30.8,94.2
THREE RIVERS ISD,573,C,97.8,82,57,21,73,39,16,80.5,18.2,93.9
LLANO ISD,1881,A,97.9,78,52,23,77,45,19,85.7,33.3,94.6
TEXAS TECH UNIVERSITY K-12,977,A,,96,86,50,89,69,32,-2,76,
RISE ACADEMY,305,A,,96,79,49,93,66,36,,,95.5
TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOCK,178,Not Rated: Data Under Review,83.8,27,18,1,59,16,2,2.5,-1,79.4
BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,185,Not Rated: Senate Bill 1365,,58,26,18,33,11,8,,,92.2
LUBBOCK ISD,25551,B,90.5,70,46,22,70,37,17,87.5,22,93.6
NEW DEAL ISD,725,B,100,76,53,22,77,38,17,88.9,15,95.9
SLATON ISD,1279,B,100,69,41,15,69,32,11,62.4,20.7,97.3
LUBBOCK-COOPER ISD,7575,A,98.9,84,63,32,84,58,30,50,43,96
FRENSHIP ISD,10860,A,98.3,84,64,34,80,48,24,96.4,30.1,96
ROOSEVELT ISD,1110,B,95.8,68,40,13,62,29,13,25.4,17.6,94.6
SHALLOWATER ISD,1745,A,100,90,71,36,91,65,34,89.3,47,95.3
IDALOU ISD,1003,A,100,87,66,37,93,69,38,98.5,41.5,95.8
O'DONNELL ISD,296,B,100,79,48,17,74,39,12,100,15,97.5
TAHOKA ISD,597,A,94.4,76,52,22,86,51,24,94.3,6.1,94.9
NEW HOME ISD,586,A,100,96,81,47,94,71,41,100,37.9,96.9
WILSON ISD,126,B,100,68,38,14,66,28,13,58.3,0,94.3
MADISONVILLE CISD,2315,A,100,83,59,25,86,54,24,41.8,25.4,95.7
NORTH ZULCH ISD,315,A,91.7,86,62,27,82,54,23,77.3,35.3,96.4
JEFFERSON ISD,1160,C,98.8,66,41,17,52,23,8,48.8,10.3,92
STANTON ISD,1101,B,98,76,51,21,75,44,20,48.9,21.7,94.5
GRADY ISD,249,A,100,97,84,49,93,59,31,92.9,30.8,97.5
MASON ISD,755,A,100,90,72,40,90,62,28,76.2,62.5,96.9
BAY CITY ISD,3508,B,91.6,66,40,17,66,35,15,23.1,32.7,91.2
TIDEHAVEN ISD,1007,A,94.2,88,67,33,87,60,30,27.3,50,95.3
MATAGORDA ISD,101,C,,84,45,24,60,31,7,,,94.8
PALACIOS ISD,1320,B,94.6,77,51,21,74,43,18,42.2,47.4,96.4
VAN VLECK ISD,1077,B,98.6,78,55,25,80,46,22,65.7,15.2,95.1
EAGLE PASS ISD,13358,B,94,73,47,19,70,38,18,21.6,24.3,96.3
BRADY ISD,960,A,98.8,79,56,24,80,45,18,91.8,14.1,95
ROCHELLE ISD,194,A,100,92,75,42,98,89,56,66.7,16.7,97.2
LOHN ISD,125,Not Rated: Senate Bill 1365,-1,49,28,12,49,10,4,-1,20,94.5
WACO CHARTER SCHOOL,193,C,,67,38,15,48,19,4,,,93.6
RAPOPORT ACADEMY PUBLIC SCHOOL,855,B,96.8,74,47,21,61,23,9,93.3,17.9,95.3
HARMONY PUBLIC SCHOOLS - NORTH TEXAS,9866,A,95.5,78,54,26,72,41,19,82.7,45.8,97.6
CRAWFORD ISD,558,B,97.4,96,79,39,91,67,33,16.2,66.7,97
MIDWAY ISD,8394,A,99.4,87,70,40,86,63,37,57.7,55.3,96.1
LA VEGA ISD,3089,B,95.1,72,43,16,65,28,10,19.8,16.7,93.1
LORENA ISD,1764,A,99.2,91,71,38,89,62,33,60.7,44.6,96.4
MART ISD,533,B,92.9,78,47,20,73,31,12,70,25,93.3
MCGREGOR ISD,1492,B,97,76,52,20,79,44,20,40.4,40,96.3
MOODY ISD,687,B,100,73,49,18,67,35,17,59.5,20,96.9
RIESEL ISD,620,A,100,82,60,28,78,47,19,84.4,27.8,95.1
WACO ISD,14066,C,85,58,32,12,53,23,9,83.7,7.8,92.7
WEST ISD,1234,A,96.2,82,60,27,83,52,25,85.1,33.7,95.8
AXTELL ISD,757,A,98.2,82,57,27,79,41,13,15.1,75,97.7
BRUCEVILLE-EDDY ISD,609,B,98.2,72,42,18,69,26,10,25.9,66.7,96.4
CHINA SPRING ISD,2951,A,100,87,66,34,87,57,28,63.3,45.8,96.2
CONNALLY ISD,2270,B,91.3,58,31,11,46,15,5,50.7,15.5,92.8
ROBINSON ISD,2400,A,100,85,65,33,85,50,21,49.7,34.5,96.1
BOSQUEVILLE ISD,699,A,100,86,63,29,86,53,22,69.1,57.9,96
HALLSBURG ISD,162,B,,88,52,23,84,52,21,,,97.6
GHOLSON ISD,231,B,91.7,79,50,22,60,30,17,16.7,-1,95.5
MCMULLEN COUNTY ISD,283,A,100,93,73,35,96,69,31,100,43.8,96.5
DEVINE ISD,1961,B,97.3,77,50,20,73,37,14,34.7,32.7,95.1
D'HANIS ISD,296,B,90,89,69,40,84,50,27,61.1,36.4,96.6
NATALIA ISD,1143,B,95.5,66,41,13,61,24,9,100,13.9,95.3
HONDO ISD,1767,B,95.7,72,45,19,66,31,12,99.2,15.2,93.6
MEDINA VALLEY ISD,6757,A,98.9,86,63,33,82,52,25,41.4,28.8,94.9
MENARD ISD,297,B,100,86,62,25,73,36,13,100,0,94.2
MIDLAND ACADEMY CHARTER SCHOOL,363,A,,91,71,43,90,63,31,,,97.6
MIDLAND ISD,26387,B,90,69,44,20,68,38,17,58.1,29.5,93.3
GREENWOOD ISD,3081,B,94.1,79,55,27,80,48,21,98.6,20.3,93.8
CAMERON ISD,1569,B,95,69,46,21,72,37,18,49.6,22.4,95
GAUSE ISD,163,B,,92,71,29,82,43,20,,,97
MILANO ISD,409,A,94.1,87,68,28,90,57,28,83.9,42.3,96.7
ROCKDALE ISD,1416,B,99.1,73,47,18,72,34,13,43.1,20,94
THORNDALE ISD,594,B,98,77,50,19,76,33,12,80.4,31.7,96.2
BUCKHOLTS ISD,140,B,100,64,36,11,49,21,10,66.7,16.7,95.1
GOLDTHWAITE ISD,532,A,100,93,73,38,93,71,37,71.9,34.8,96.1
MULLIN ISD,195,A,71.4,81,52,17,88,60,21,0,,95
PRIDDY ISD,123,B,100,83,42,6,81,42,25,100,66.7,99.6
COLORADO ISD,872,B,96.8,76,49,21,77,43,17,67.7,18.2,94.1
LORAINE ISD,133,B,85.7,71,38,22,63,38,19,0,,92
WESTBROOK ISD,258,B,100,77,50,19,77,44,23,70.6,41.7,94.5
BOWIE ISD,1685,B,97.7,73,48,19,66,27,9,70,20.2,94.7
NOCONA ISD,805,B,98.1,76,48,21,79,43,19,81.5,11.4,94.4
GOLD BURG ISD,144,B,80,70,40,20,67,31,7,-1,-1,94.2
MONTAGUE ISD,148,A,,90,65,40,95,76,47,,,97.5
PRAIRIE VALLEY ISD,147,A,100,89,63,23,79,49,23,88.9,0,96.2
FORESTBURG ISD,175,B,100,89,67,30,76,38,13,90.9,0,95.4
SAINT JO ISD,322,A,100,86,61,25,81,47,22,84,19,95.9
TEXAS SERENITY ACADEMY,341,Not Rated: Senate Bill 1365,,61,28,14,36,10,2,,,89.6
CONROE ISD,67490,B,96.5,82,63,34,82,57,32,59.9,59.2,96.2
MONTGOMERY ISD,9328,A,97.2,86,67,35,89,66,37,80,44.1,95
WILLIS ISD,8395,C,94,73,48,20,66,31,11,89.1,16.5,95.4
MAGNOLIA ISD,13613,A,95.1,78,57,28,77,46,23,65.8,43.1,94
SPLENDORA ISD,4362,B,93.5,69,41,17,68,28,10,53.6,13.6,92.7
NEW CANEY ISD,17098,B,94.2,70,46,19,68,37,16,91.6,9.7,92.4
DUMAS ISD,4268,B,97.6,79,52,21,82,49,20,45.9,12.1,93.7
SUNRAY COLLEGIATE ISD,618,A,100,80,54,23,81,42,20,35,21.4,95.4
DAINGERFIELD-LONE STAR ISD,994,B,100,74,44,15,67,29,11,37.4,17.6,92.9
PEWITT CISD,866,A,98,84,59,23,81,46,17,65.3,18.8,94
MOTLEY COUNTY ISD,157,A,100,87,64,26,83,55,22,100,9.1,98.6
STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,256,A,,98,88,66,98,86,61,,,98.8
CHIRENO ISD,407,B,90,72,48,17,73,36,18,100,10.5,96.1
CUSHING ISD,554,A,100,80,58,22,69,33,14,86,37.8,95.9
GARRISON ISD,748,B,100,81,57,28,80,43,16,50,36.8,95.5
NACOGDOCHES ISD,5883,C,94.2,65,40,16,57,28,11,35.4,30.8,91.4
WODEN ISD,759,A,100,87,61,29,82,48,21,88.4,10.5,96.2
CENTRAL HEIGHTS ISD,1137,A,98.7,88,72,41,89,64,30,92.3,40.3,96.3
MARTINSVILLE ISD,344,B,96.7,80,52,23,71,24,10,69,0,95.9
ETOILE ISD,93,B,,78,51,24,65,22,8,,,95.8
DOUGLASS ISD,456,B,100,83,62,31,81,56,25,59.4,52.6,96.3
BLOOMING GROVE ISD,903,B,98.2,80,53,24,78,47,20,93,13.2,93.7
CORSICANA ISD,5996,B,85,72,47,20,72,42,18,83.9,19.5,93.4
DAWSON ISD,525,B,100,72,46,17,72,37,15,40,18.8,95.7
FROST ISD,435,C,100,74,44,20,72,35,12,36.4,50,93.9
KERENS ISD,552,B,100,74,44,16,78,37,15,79.2,10.5,94
MILDRED ISD,831,B,92.7,88,62,28,83,49,26,42.3,36.4,94.9
RICE ISD,993,A,95.7,75,50,21,74,47,22,45.6,19.4,95.1
BURKEVILLE ISD,232,B,87.5,58,35,15,56,21,6,100,7.1,91.8
NEWTON ISD,958,B,98.4,74,43,18,66,31,9,30,5.6,92.6
DEWEYVILLE ISD,529,B,97.6,81,57,26,67,33,13,37.5,26.7,94
ROSCOE COLLEGIATE ISD,3076,B,95.5,60,35,15,41,14,5,100,17.4,93.5
SWEETWATER ISD,2052,B,95.2,64,40,15,63,31,10,38.7,15.1,94
BLACKWELL CISD,155,B,100,96,70,30,84,40,10,94.4,35.3,96.3
HIGHLAND ISD,225,A,100,90,67,35,94,71,36,62.5,10,97.3
DR M L GARZA-GONZALEZ CHARTER SCHOOL,166,B,,81,46,27,56,20,6,,,94.4
CORPUS CHRISTI MONTESSORI SCHOOL,121,Not Rated: Senate Bill 1365,,84,59,44,58,18,7,,,95.7
SEASHORE CHARTER SCHOOLS,495,B,,92,74,46,85,50,20,,,97.5
AGUA DULCE ISD,400,B,94.9,83,60,25,71,31,12,26.3,30,94.1
BISHOP CISD,1457,A,97.5,81,57,24,83,54,30,59.1,15.4,97.7
CALALLEN ISD,3856,B,95.8,82,59,28,82,51,24,96.2,25.5,94.9
CORPUS CHRISTI ISD,33107,B,95.5,71,46,20,69,36,15,44.9,30.8,91.3
DRISCOLL ISD,272,B,,87,63,38,81,45,18,,,96
LONDON ISD,1427,A,97.5,93,78,42,94,73,41,74.4,67.2,97.9
PORT ARANSAS ISD,524,A,100,89,68,33,87,63,30,68.1,75,95.8
ROBSTOWN ISD,2479,B,87,59,37,13,52,22,8,97.8,3,84.5
TULOSO-MIDWAY ISD,3745,B,91.5,81,58,27,74,39,15,100,38.5,93.6
BANQUETE ISD,858,A,96.6,86,62,26,83,50,20,41.1,17.4,91.6
FLOUR BLUFF ISD,5523,A,85.6,85,64,32,82,53,27,53.1,54.5,95.7
WEST OSO ISD,1964,B,93,71,44,17,66,29,10,45.3,12.1,89.5
PERRYTON ISD,2046,A,99.4,84,62,26,83,53,26,38,25,94.7
BOYS RANCH ISD,178,Not Rated,100,78,53,15,71,47,19,39.6,31.6,97.3
VEGA ISD,368,A,100,95,78,40,95,73,41,77.8,47.6,97.8
ADRIAN ISD,113,B,100,92,53,18,74,27,10,83.3,10,96
WILDORADO ISD,230,B,,82,56,21,81,47,19,64.7,0,97
BRIDGE CITY ISD,3090,B,94.4,82,61,31,81,46,19,74.2,28.5,95.4
ORANGEFIELD ISD,1843,B,97.3,82,56,25,81,44,18,87.4,21.6,95.5
WEST ORANGE-COVE CISD,2555,B,87.7,55,31,11,47,18,6,47.6,8.6,89.3
VIDOR ISD,4254,B,85,71,47,22,74,42,20,51.1,28.1,94.3
LITTLE CYPRESS-MAURICEVILLE CISD,3223,B,95.9,74,48,20,69,35,14,49.7,38.9,93.5
GORDON ISD,264,B,100,75,44,20,66,30,11,62.5,20,95.6
GRAFORD ISD,321,B,92,70,47,22,66,32,11,58.3,21.4,95.2
MINERAL WELLS ISD,3228,B,95.9,69,42,16,68,35,14,28.2,27.1,94.8
SANTO ISD,496,A,100,89,59,32,87,57,28,44.7,47.1,96.9
STRAWN ISD,162,B,100,65,34,14,70,35,18,63.6,14.3,96.8
PALO PINTO ISD,84,A,,94,82,55,100,73,33,,,97
PANOLA CHARTER SCHOOL,209,B,96.4,73,54,12,66,36,22,16.4,44.4,96.7
BECKVILLE ISD,686,A,96.4,88,66,32,89,62,29,89.1,20.4,96.3
CARTHAGE ISD,2668,B,94.6,77,52,24,74,42,17,45.7,36.7,94.4
GARY ISD,487,B,100,79,51,24,76,38,11,75,29.6,94.2
CROSSTIMBERS ACADEMY,149,A,100,73,48,1,39,3,0,3.7,-1,93.4
POOLVILLE ISD,644,B,100,84,55,28,82,49,24,55.6,30,95.5
SPRINGTOWN ISD,3883,C,91,76,51,21,74,39,17,38.2,33.3,95.3
WEATHERFORD ISD,8005,B,97.1,75,52,24,72,39,16,41.3,46.2,93.2
MILLSAP ISD,1100,A,97.3,80,56,25,83,50,25,50,34.2,95.6
ALEDO ISD,7325,A,98.7,90,77,47,90,66,38,87,56.1,96.3
PEASTER ISD,1622,B,97.8,83,61,30,76,43,21,38.2,50,95.3
BROCK ISD,2002,A,99.1,91,76,41,90,65,31,83.2,50,96.2
GARNER ISD,244,B,,73,48,18,77,36,14,,,97.4
BOVINA ISD,458,A,100,74,47,15,72,38,18,100,10.5,96
FARWELL ISD,585,B,100,88,66,33,90,67,37,87.8,19.4,96.2
FRIONA ISD,1078,B,100,73,45,15,69,31,10,20,23.1,96.2
LAZBUDDIE ISD,164,B,87.5,83,54,20,78,39,16,100,14.3,96
BUENA VISTA ISD,240,B,100,85,58,29,85,46,17,100,36.4,95.9
FORT STOCKTON ISD,2230,B,92.5,67,39,15,65,31,13,3.4,20,83
IRAAN-SHEFFIELD ISD,323,B,100,71,43,20,64,22,8,28.6,-1,94.8
BIG SANDY ISD,529,B,97.4,80,52,18,81,43,14,91.9,32.4,95
GOODRICH ISD,244,C,100,66,38,11,55,24,10,37.5,16.7,95
CORRIGAN-CAMDEN ISD,817,A,98.3,77,51,22,74,39,16,57.6,14.7,96.1
LEGGETT ISD,219,B,100,62,35,11,48,17,7,35.3,16.7,96.3
LIVINGSTON ISD,4013,B,87.3,72,48,22,75,44,21,84.1,23.3,95.3
ONALASKA ISD,1213,B,96.6,84,56,24,85,50,20,59.6,38.2,94.7
AMARILLO ISD,30748,B,92.2,76,51,23,77,45,20,95.8,23.8,91.9
RIVER ROAD ISD,1340,B,89.7,73,46,18,72,37,14,98.9,7,92.7
HIGHLAND PARK ISD,826,A,98.3,84,57,24,79,45,19,43.9,32,93.9
BUSHLAND ISD,1546,A,99.2,88,71,39,88,58,29,84.3,32.4,96
MARFA ISD,270,B,96,75,47,21,67,31,13,33.3,25,94.9
PRESIDIO ISD,1046,B,87.5,68,42,14,72,40,16,75.6,19.1,90.7
RAINS ISD,1727,C,94.6,72,43,16,63,24,7,59.8,23.4,94.8
CANYON ISD,10659,A,96.2,86,65,34,88,60,30,94.9,22.4,94.7
REAGAN COUNTY ISD,812,B,95.7,72,49,23,69,36,12,92.6,6.3,94
BIG SPRINGS CHARTER SCHOOL,202,Not Rated: Senate Bill 1365,50,56,29,4,34,12,3,12.5,-1,86.3
LEAKEY ISD,328,B,80,78,49,22,73,40,18,46.2,16.7,96.5
AVERY ISD,358,A,100,83,64,27,86,59,30,47.8,27.3,95.7
