DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),DISTRICT SIZE
PFLUGERVILLE ISD,33,25348,14088,274270069,"25,000 to 49,999"
MANOR ISD,15,9029,14446,101816608,"5,000 to 9,999"
EANES ISD,10,7809,12980,80943211,"5,000 to 9,999"
DEL VALLE ISD,14,10853,13929,120626288,"10,000 to 24,999"
LAGO VISTA ISD,4,1803,13391,16491011,"1,600 to 2,999"
LAKE TRAVIS ISD,11,10953,13575,101634305,"10,000 to 24,999"
GROVETON ISD,2,741,14312,10874144,500 to 999
TRINITY ISD,3,1159,14434,15376167,"1,000 to 1,599"
CENTERVILLE ISD,1,137,18136,2471201,Under 500
APPLE SPRINGS ISD,2,205,14852,3001004,Under 500
COLMESNEIL ISD,2,453,14531,6280492,Under 500
WOODVILLE ISD,4,1263,14995,18441735,"1,000 to 1,599"
WARREN ISD,4,1262,14310,16551049,"1,000 to 1,599"
SPURGER ISD,2,369,16047,5645926,Under 500
CHESTER ISD,2,212,15107,3135866,Under 500
BIG SANDY ISD,3,655,14994,8921435,500 to 999
GILMER ISD,4,2676,16238,37453850,"1,600 to 2,999"
ORE CITY ISD,3,861,14540,12929722,500 to 999
UNION HILL ISD,2,284,16664,5060980,Under 500
HARMONY ISD,4,1036,12869,12985486,"1,000 to 1,599"
NEW DIANA ISD,3,1214,13796,13013666,"1,000 to 1,599"
UNION GROVE ISD,3,701,14138,9296493,500 to 999
MCCAMEY ISD,3,521,25169,9291828,500 to 999
RANKIN ISD,1,312,96600,10490447,Under 500
