DISTRICT ACCOUNTABILITY RATINGS,TOTAL STUDENTS_y,ATTENDANCE RATE (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD_y,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD_y,COLLEGE ADMISSIONS: % TESTED (2020-2021),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),Change in STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,Change in STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,Change in STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE
A,2046,95.6,98.1,91.0,73.0,41.0,91.0,63.0,31.0,59.4,54.0,0.0,0.0,0.0
B,1717,94.3,99.0,76.0,51.0,23.0,72.0,33.0,12.0,61.6,29.5,0.0,0.0,0.0
A,755,95.2,91.4,84.0,60.0,31.0,89.0,59.0,28.0,90.6,22.9,0.0,0.0,0.0
B,1430,95.5,100.0,83.0,57.0,26.0,73.0,34.0,11.0,80.2,46.9,0.0,0.0,0.0
B,991,94.8,97.0,75.0,52.0,21.0,70.0,39.0,14.0,62.5,45.0,0.0,0.0,0.0
A,1113,96.1,100.0,89.0,69.0,33.0,84.0,50.0,20.0,97.0,45.3,0.0,0.0,0.0
B,657,94.4,95.9,78.0,51.0,23.0,82.0,52.0,22.0,31.9,6.7,0.0,0.0,0.0
A,141,94.9,88.9,75.0,54.0,9.0,93.0,52.0,26.0,12.1,-1.0,0.0,0.0,0.0
B,1703,93.5,91.3,70.0,44.0,16.0,65.0,33.0,11.0,18.4,11.1,0.0,0.0,0.0
B,3887,94.7,92.6,71.0,48.0,21.0,68.0,35.0,14.0,62.0,23.4,0.0,0.0,0.0
A,8223,97.3,98.3,78.0,56.0,27.0,80.0,53.0,29.0,53.5,30.5,0.0,0.0,0.0
B,4677,95.4,98.7,75.0,50.0,22.0,77.0,42.0,17.0,78.8,16.3,0.0,0.0,0.0
A,1531,95.6,97.2,84.0,62.0,30.0,82.0,50.0,25.0,40.6,46.5,0.0,0.0,0.0
A,2028,95.9,98.3,85.0,64.0,31.0,83.0,54.0,27.0,42.7,56.0,0.0,0.0,0.0
A,1458,94.9,100.0,84.0,64.0,30.0,85.0,52.0,20.0,70.2,37.3,0.0,0.0,0.0
A,886,94.1,100.0,88.0,67.0,30.0,92.0,64.0,31.0,78.9,26.8,0.0,0.0,0.0
A,539,96.4,96.9,88.0,68.0,40.0,86.0,58.0,34.0,36.4,50.0,0.0,0.0,0.0
B,2953,93.2,94.7,65.0,40.0,17.0,68.0,33.0,12.0,55.9,15.2,0.0,0.0,0.0
B,213,98.0,94.1,76.0,48.0,24.0,56.0,26.0,6.0,29.4,20.0,0.0,0.0,0.0
Not Rated: Senate Bill 1365,7039,93.0,89.5,64.0,39.0,16.0,59.0,27.0,10.0,23.5,43.4,0.0,0.0,0.0
B,15875,96.1,97.5,79.0,55.0,23.0,78.0,48.0,21.0,88.8,38.9,0.0,0.0,0.0
B,1971,94.9,99.3,83.0,60.0,28.0,82.0,51.0,21.0,34.5,56.3,0.0,0.0,0.0
B,1471,95.0,98.9,79.0,58.0,26.0,78.0,46.0,21.0,84.6,28.6,0.0,0.0,0.0
A,820,95.2,96.8,78.0,56.0,27.0,78.0,47.0,24.0,46.7,42.9,0.0,0.0,0.0
B,99,97.9,100.0,83.0,62.0,24.0,61.0,28.0,11.0,42.9,-1.0,0.0,0.0,0.0
B,597,94.9,95.2,79.0,44.0,18.0,62.0,22.0,8.0,12.8,20.0,0.0,0.0,0.0
A,274,95.8,100.0,80.0,57.0,28.0,90.0,52.0,20.0,78.9,20.0,0.0,0.0,0.0
B,4710,93.1,94.9,68.0,41.0,16.0,66.0,34.0,13.0,89.3,10.7,0.0,0.0,0.0
B,431,94.6,100.0,74.0,47.0,17.0,77.0,40.0,18.0,78.6,0.0,0.0,0.0,0.0
A,193,96.6,100.0,93.0,71.0,29.0,87.0,54.0,29.0,45.0,22.2,0.0,0.0,0.0
A,832,96.3,100.0,83.0,66.0,31.0,81.0,52.0,25.0,56.9,37.8,0.0,0.0,0.0
B,603,95.8,100.0,87.0,66.0,28.0,82.0,40.0,17.0,48.3,28.6,0.0,0.0,0.0
A,418,97.3,97.3,94.0,73.0,32.0,99.0,85.0,55.0,75.0,29.6,0.0,0.0,0.0
B,128,97.1,,89.0,61.0,26.0,89.0,42.0,22.0,,,0.0,0.0,0.0
A,783,97.1,100.0,86.0,63.0,29.0,85.0,61.0,34.0,94.7,14.8,0.0,0.0,0.0
B,199,95.2,92.3,68.0,48.0,18.0,65.0,40.0,19.0,41.7,0.0,0.0,0.0,0.0
A,497,95.3,96.9,82.0,55.0,28.0,83.0,45.0,22.0,40.0,25.0,0.0,0.0,0.0
B,1125,96.9,89.0,72.0,46.0,20.0,77.0,44.0,20.0,76.8,11.3,0.0,0.0,0.0
C,2708,94.5,98.3,64.0,40.0,15.0,58.0,23.0,7.0,48.9,35.6,0.0,0.0,0.0
B,2602,94.0,97.2,82.0,59.0,27.0,83.0,53.0,24.0,62.6,59.8,0.0,0.0,0.0
B,4188,95.2,98.0,80.0,55.0,25.0,81.0,49.0,20.0,65.8,35.9,0.0,0.0,0.0
B,568,92.8,97.1,77.0,56.0,20.0,75.0,38.0,13.0,5.9,-1.0,0.0,0.0,0.0
B,1009,95.0,,71.0,46.0,24.0,72.0,36.0,14.0,,,0.0,0.0,0.0
B,1219,98.7,80.0,89.0,73.0,42.0,79.0,51.0,24.0,100.0,68.0,0.0,0.0,0.0
B,947,97.0,83.2,46.0,25.0,5.0,44.0,9.0,1.0,17.4,0.0,0.0,0.0,0.0
A,1563,95.2,92.0,73.0,48.0,23.0,75.0,43.0,21.0,91.7,4.5,0.0,0.0,0.0
Not Rated,4,99.3,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.0,0.0,0.0
Not Rated,217,97.5,0.0,0.0,0.0,0.0,14.0,0.0,0.0,,,0.0,0.0,0.0
B,1137,93.2,,72.0,41.0,21.0,68.0,35.0,15.0,,,0.0,0.0,0.0
B,349,96.4,,90.0,65.0,37.0,80.0,52.0,29.0,,,0.0,0.0,0.0
A,560,98.2,,88.0,64.0,31.0,91.0,67.0,39.0,,,0.0,0.0,0.0
A,175,93.9,77.9,52.0,23.0,0.0,65.0,27.0,13.0,43.4,2.8,0.0,0.0,0.0
A,2082,96.5,96.3,95.0,80.0,47.0,96.0,82.0,54.0,84.6,47.0,0.0,0.0,0.0
A,304,98.6,100.0,94.0,76.0,35.0,88.0,54.0,26.0,90.5,15.8,0.0,0.0,0.0
B,1526,95.3,71.8,55.0,27.0,11.0,60.0,28.0,12.0,39.5,12.5,0.0,0.0,0.0
B,439,95.3,,71.0,46.0,26.0,37.0,13.0,6.0,,,0.0,0.0,0.0
C,44,98.5,100.0,77.0,45.0,16.0,54.0,13.0,13.0,25.0,-1.0,0.0,0.0,0.0
B,14557,94.5,94.4,70.0,45.0,16.0,72.0,37.0,16.0,100.0,38.6,0.0,0.0,0.0
A,3564,97.8,97.4,78.0,53.0,23.0,73.0,42.0,23.0,76.5,35.1,0.0,0.0,0.0
C,462,97.8,,78.0,55.0,28.0,64.0,33.0,14.0,,,0.0,0.0,0.0
A,214,99.7,,83.0,56.0,27.0,83.0,50.0,30.0,,,0.0,0.0,0.0
C,1722,92.8,,60.0,30.0,15.0,61.0,23.0,6.0,,,0.0,0.0,0.0
B,272,92.8,,76.0,49.0,25.0,48.0,18.0,7.0,,,0.0,0.0,0.0
B,692,98.5,,61.0,32.0,16.0,52.0,21.0,8.0,,,0.0,0.0,0.0
A,5894,97.9,98.9,79.0,56.0,30.0,77.0,48.0,26.0,88.6,50.0,0.0,0.0,0.0
A,558,93.6,,86.0,59.0,36.0,79.0,52.0,27.0,,,0.0,0.0,0.0
B,607,94.7,,69.0,40.0,20.0,65.0,31.0,10.0,,,0.0,0.0,0.0
A,4086,98.5,97.6,89.0,72.0,41.0,88.0,66.0,40.0,86.5,65.6,0.0,0.0,0.0
B,169,94.7,,65.0,38.0,22.0,50.0,16.0,6.0,,,0.0,0.0,0.0
Not Rated: Senate Bill 1365,397,87.9,88.0,36.0,15.0,4.0,19.0,3.0,2.0,7.1,-1.0,0.0,0.0,0.0
A,1298,97.3,,92.0,73.0,41.0,84.0,47.0,20.0,,,0.0,0.0,0.0
B,145,92.6,,81.0,49.0,32.0,59.0,33.0,16.0,,,0.0,0.0,0.0
B,341,96.8,,69.0,47.0,28.0,60.0,30.0,10.0,,,0.0,0.0,0.0
B,157,89.7,,76.0,41.0,20.0,57.0,23.0,9.0,,,0.0,0.0,0.0
B,369,88.3,,79.0,67.0,22.0,56.0,32.0,19.0,20.4,10.0,0.0,0.0,0.0
Not Rated: Senate Bill 1365,193,90.1,,36.0,25.0,7.0,21.0,4.0,4.0,,,0.0,0.0,0.0
Not Rated: Senate Bill 1365,165,92.2,,67.0,33.0,14.0,59.0,18.0,2.0,,,0.0,0.0,0.0
Not Rated,55,,,,,,,,,,,,,
Not Rated,131,93.2,,,,,,,,,,,,
C,61528,93.6,83.1,59.0,33.0,12.0,53.0,22.0,9.0,86.4,11.7,0.0,0.0,0.0
B,40642,93.4,88.0,64.0,41.0,17.0,63.0,33.0,14.0,92.4,22.0,0.0,0.0,0.0
B,9503,91.2,92.2,68.0,42.0,16.0,69.0,34.0,14.0,77.2,15.9,0.0,0.0,0.0
B,6465,96.7,93.6,74.0,49.0,21.0,76.0,45.0,20.0,97.1,19.8,0.0,0.0,0.0
A,116913,94.8,92.6,83.0,63.0,33.0,78.0,50.0,26.0,94.1,26.6,0.0,0.0,0.0
A,12327,93.8,90.7,80.0,58.0,27.0,83.0,55.0,25.0,26.8,52.9,0.0,0.0,0.0
A,21400,96.7,94.0,72.0,47.0,19.0,76.0,45.0,21.0,38.2,11.7,0.0,0.0,0.0
B,23833,93.2,94.9,70.0,46.0,20.0,72.0,41.0,20.0,12.8,36.9,0.0,0.0,0.0
B,193727,93.7,85.7,70.0,49.0,24.0,67.0,38.0,19.0,62.8,28.5,0.0,0.0,0.0
B,47477,94.9,95.4,77.0,54.0,24.0,70.0,38.0,17.0,90.9,35.7,0.0,0.0,0.0
A,88165,95.6,95.0,87.0,70.0,41.0,86.0,62.0,37.0,93.7,54.3,0.0,0.0,0.0
B,53059,96.1,92.9,79.0,58.0,29.0,78.0,48.0,23.0,93.8,34.9,0.0,0.0,0.0
B,6925,92.4,93.2,77.0,52.0,23.0,77.0,41.0,18.0,61.5,24.7,0.0,0.0,0.0
B,49255,93.9,90.9,71.0,45.0,18.0,70.0,37.0,16.0,85.2,19.1,0.0,0.0,0.0
B,33406,93.6,85.2,62.0,38.0,15.0,58.0,26.0,10.0,86.2,10.8,0.0,0.0,0.0
B,33474,94.5,91.9,74.0,55.0,29.0,77.0,51.0,29.0,95.2,43.0,0.0,0.0,0.0
A,20184,95.6,97.1,90.0,73.0,43.0,90.0,68.0,39.0,92.3,51.3,0.0,0.0,0.0
B,10565,94.2,92.0,63.0,37.0,14.0,61.0,28.0,11.0,81.6,8.1,0.0,0.0,0.0
B,3565,94.1,98.7,74.0,49.0,20.0,73.0,40.0,17.0,31.5,35.6,0.0,0.0,0.0
C,134,93.6,,70.0,39.0,22.0,72.0,30.0,9.0,,,0.0,0.0,0.0
B,5059,91.9,83.1,63.0,38.0,15.0,66.0,35.0,15.0,46.7,9.1,0.0,0.0,0.0
B,845,95.2,100.0,77.0,52.0,20.0,80.0,42.0,18.0,57.1,5.6,0.0,0.0,0.0
Not Rated: Data Under Review,19079,98.5,72.9,70.0,45.0,16.0,49.0,23.0,11.0,17.0,37.9,0.0,0.0,0.0
A,711,95.5,100.0,89.0,66.0,32.0,90.0,53.0,23.0,54.7,28.6,0.0,0.0,0.0
A,829,95.3,98.5,88.0,62.0,27.0,84.0,50.0,20.0,67.7,43.2,0.0,0.0,0.0
B,163,96.4,100.0,72.0,54.0,26.0,71.0,38.0,14.0,-1.0,-1.0,0.0,0.0,0.0
A,232,95.3,100.0,90.0,72.0,38.0,93.0,65.0,44.0,26.7,-1.0,0.0,0.0,0.0
A,537,95.5,93.3,80.0,54.0,24.0,74.0,42.0,21.0,61.4,22.2,0.0,0.0,0.0
B,143,94.0,100.0,69.0,46.0,12.0,57.0,23.0,9.0,85.7,0.0,0.0,0.0,0.0
A,95,95.3,100.0,80.0,49.0,19.0,92.0,65.0,25.0,100.0,28.6,0.0,0.0,0.0
C,74,87.0,66.7,76.0,64.0,14.0,59.0,18.0,0.0,21.7,40.0,0.0,0.0,0.0
A,120,93.9,,68.0,51.0,22.0,69.0,36.0,5.0,,,0.0,0.0,0.0
Not Rated: Senate Bill 1365,281,96.4,20.0,14.0,14.0,0.0,14.0,0.0,0.0,-1.0,,0.0,0.0,0.0
C,8136,94.5,80.4,63.0,40.0,16.0,55.0,24.0,9.0,49.5,27.7,0.0,0.0,0.0
A,7859,96.9,98.6,91.0,73.0,40.0,90.0,62.0,30.0,80.3,66.2,0.0,0.0,0.0
A,2606,97.8,95.5,86.0,68.0,36.0,79.0,49.0,22.0,52.7,69.0,0.0,0.0,0.0
B,21345,91.8,92.1,76.0,54.0,25.0,73.0,43.0,20.0,60.2,30.2,0.0,0.0,0.0
A,839,95.3,100.0,88.0,63.0,24.0,88.0,59.0,30.0,98.5,30.3,0.0,0.0,0.0
B,2955,94.1,95.1,70.0,47.0,22.0,67.0,37.0,17.0,27.3,41.5,0.0,0.0,0.0
B,2584,96.0,98.2,79.0,55.0,25.0,82.0,52.0,24.0,45.6,19.5,0.0,0.0,0.0
B,538,96.1,100.0,88.0,63.0,29.0,93.0,72.0,37.0,33.3,22.2,0.0,0.0,0.0
B,1650,96.4,96.7,84.0,59.0,27.0,79.0,44.0,16.0,20.7,40.0,0.0,0.0,0.0
A,1420,96.3,96.4,88.0,65.0,31.0,86.0,53.0,22.0,97.5,26.9,0.0,0.0,0.0
B,153,95.2,88.9,59.0,34.0,11.0,51.0,24.0,11.0,75.0,16.7,0.0,0.0,0.0
Not Rated: Senate Bill 1365,179,96.1,,75.0,44.0,15.0,69.0,30.0,11.0,,,0.0,0.0,0.0
B,491,96.1,100.0,81.0,60.0,21.0,72.0,36.0,12.0,39.1,55.6,0.0,0.0,0.0
C,1392,96.0,,77.0,48.0,27.0,59.0,30.0,11.0,,,0.0,0.0,0.0
A,484,88.6,81.5,58.0,34.0,3.0,77.0,25.0,9.0,0.6,-1.0,0.0,0.0,0.0
B,67988,98.6,98.6,82.0,59.0,30.0,76.0,43.0,21.0,100.0,24.7,0.0,0.0,0.0
A,5364,98.4,100.0,84.0,60.0,31.0,76.0,42.0,20.0,49.3,27.1,0.0,0.0,0.0
B,301,95.2,,66.0,44.0,16.0,60.0,26.0,8.0,,,0.0,0.0,0.0
B,13060,93.1,92.1,58.0,32.0,11.0,62.0,26.0,9.0,17.3,8.9,0.0,0.0,0.0
B,4140,90.7,93.2,63.0,38.0,13.0,57.0,23.0,8.0,70.6,7.0,0.0,0.0,0.0
A,32043,95.3,90.4,75.0,51.0,22.0,74.0,42.0,20.0,23.8,29.4,0.0,0.0,0.0
A,2836,97.4,89.7,69.0,47.0,21.0,73.0,40.0,19.0,60.5,5.9,0.0,0.0,0.0
A,20282,97.3,98.4,80.0,60.0,30.0,78.0,48.0,25.0,93.6,22.9,0.0,0.0,0.0
B,4416,94.9,92.0,61.0,33.0,11.0,58.0,23.0,7.0,33.5,16.7,0.0,0.0,0.0
B,13838,95.9,95.9,66.0,42.0,17.0,63.0,30.0,12.0,83.3,12.6,0.0,0.0,0.0
A,29242,95.0,96.7,71.0,47.0,19.0,71.0,39.0,19.0,9.9,13.4,0.0,0.0,0.0
B,1393,93.1,89.1,64.0,41.0,15.0,63.0,27.0,10.0,38.5,8.5,0.0,0.0,0.0
A,9481,97.6,97.5,83.0,63.0,32.0,83.0,56.0,30.0,45.6,39.3,0.0,0.0,0.0
B,24024,96.0,85.0,65.0,41.0,17.0,73.0,41.0,19.0,44.5,9.2,0.0,0.0,0.0
B,15581,94.4,92.6,70.0,45.0,18.0,69.0,36.0,16.0,79.7,9.1,0.0,0.0,0.0
Not Rated: Senate Bill 1365,557,92.1,95.1,65.0,35.0,14.0,47.0,18.0,6.0,0.0,,0.0,0.0,0.0
B,890,97.1,96.5,65.0,39.0,14.0,68.0,30.0,12.0,34.5,10.5,0.0,0.0,0.0
A,282,97.1,94.4,90.0,70.0,38.0,91.0,60.0,34.0,68.8,27.3,0.0,0.0,0.0
A,181,97.2,100.0,84.0,60.0,30.0,89.0,61.0,25.0,100.0,7.7,0.0,0.0,0.0
B,301,96.8,100.0,83.0,54.0,24.0,68.0,23.0,4.0,100.0,15.8,0.0,0.0,0.0
B,1930,95.0,96.9,79.0,51.0,23.0,76.0,43.0,21.0,69.8,13.6,0.0,0.0,0.0
B,628,95.4,84.8,72.0,42.0,13.0,54.0,21.0,6.0,75.6,9.7,0.0,0.0,0.0
Not Rated: Senate Bill 1365,153,97.2,,63.0,40.0,22.0,62.0,31.0,12.0,,,0.0,0.0,0.0
B,193,96.9,90.0,70.0,33.0,13.0,73.0,41.0,18.0,100.0,18.2,0.0,0.0,0.0
C,1474,94.3,89.9,78.0,50.0,19.0,73.0,43.0,19.0,31.2,48.3,0.0,0.0,0.0
A,335,95.4,100.0,81.0,56.0,25.0,82.0,55.0,25.0,94.7,38.9,0.0,0.0,0.0
B,344,96.3,100.0,83.0,61.0,21.0,80.0,47.0,17.0,75.0,29.2,0.0,0.0,0.0
B,198,97.2,100.0,73.0,50.0,14.0,67.0,40.0,15.0,64.7,27.3,0.0,0.0,0.0
B,182,95.0,100.0,70.0,33.0,9.0,48.0,12.0,2.0,0.0,,0.0,0.0,0.0
B,2746,95.1,97.6,73.0,43.0,16.0,72.0,33.0,12.0,85.3,10.3,0.0,0.0,0.0
A,514,96.0,96.3,88.0,68.0,32.0,89.0,51.0,23.0,81.5,50.0,0.0,0.0,0.0
A,416,95.6,94.9,84.0,61.0,27.0,75.0,47.0,20.0,89.2,21.2,0.0,0.0,0.0
B,576,96.8,100.0,92.0,71.0,35.0,94.0,71.0,37.0,94.6,22.9,0.0,0.0,0.0
A,236,96.2,100.0,87.0,64.0,28.0,81.0,51.0,20.0,33.3,-1.0,0.0,0.0,0.0
Not Rated,51,-1.0,,,,,,,,,,,,
B,7712,93.2,95.2,81.0,59.0,28.0,79.0,49.0,24.0,48.4,44.3,0.0,0.0,0.0
A,447,96.3,96.8,84.0,63.0,29.0,81.0,47.0,20.0,20.0,66.7,0.0,0.0,0.0
A,847,96.0,97.8,84.0,64.0,28.0,87.0,54.0,23.0,79.2,36.8,0.0,0.0,0.0
B,4329,94.7,92.0,73.0,51.0,24.0,77.0,47.0,24.0,44.2,32.2,0.0,0.0,0.0
B,435,94.8,100.0,74.0,48.0,17.0,65.0,33.0,17.0,97.0,21.9,0.0,0.0,0.0
A,535,95.7,100.0,75.0,54.0,24.0,83.0,46.0,21.0,86.7,10.3,0.0,0.0,0.0
A,299,95.9,100.0,90.0,67.0,30.0,88.0,50.0,18.0,47.4,11.1,0.0,0.0,0.0
B,724,95.2,97.8,80.0,51.0,21.0,72.0,38.0,17.0,51.1,25.0,0.0,0.0,0.0
A,244,97.6,100.0,90.0,56.0,18.0,88.0,57.0,17.0,50.0,22.2,0.0,0.0,0.0
B,202,95.8,100.0,78.0,57.0,19.0,84.0,38.0,14.0,66.7,30.0,0.0,0.0,0.0
C,1190,93.7,96.4,65.0,37.0,13.0,55.0,20.0,9.0,42.0,20.6,0.0,0.0,0.0
B,631,94.5,100.0,72.0,48.0,19.0,76.0,40.0,17.0,12.2,40.0,0.0,0.0,0.0
B,504,97.3,100.0,88.0,64.0,31.0,86.0,42.0,16.0,86.2,12.0,0.0,0.0,0.0
A,488,95.1,97.1,82.0,59.0,24.0,75.0,42.0,15.0,100.0,24.3,0.0,0.0,0.0
A,246,95.1,100.0,84.0,59.0,24.0,83.0,53.0,20.0,57.9,36.4,0.0,0.0,0.0
C,3629,92.4,83.7,65.0,41.0,15.0,67.0,36.0,15.0,24.1,17.7,0.0,0.0,0.0
C,1084,95.0,100.0,71.0,45.0,19.0,69.0,32.0,10.0,38.0,22.2,0.0,0.0,0.0
A,764,96.5,97.7,84.0,61.0,32.0,79.0,44.0,18.0,46.3,47.4,0.0,0.0,0.0
B,400,95.3,100.0,71.0,46.0,16.0,71.0,27.0,6.0,90.9,5.0,0.0,0.0,0.0
B,118,92.6,87.5,75.0,43.0,14.0,74.0,37.0,13.0,0.0,,0.0,0.0,0.0
A,66,95.4,60.0,78.0,47.0,22.0,68.0,39.0,29.0,-1.0,,0.0,0.0,0.0
A,2227,97.2,98.5,88.0,67.0,35.0,88.0,56.0,26.0,91.3,34.9,0.0,0.0,0.0
B,483,96.9,97.4,79.0,57.0,23.0,73.0,44.0,20.0,38.5,46.7,0.0,0.0,0.0
B,1440,93.4,93.9,64.0,38.0,17.0,55.0,22.0,9.0,27.4,24.1,0.0,0.0,0.0
C,5320,95.2,95.1,60.0,37.0,15.0,58.0,24.0,9.0,29.6,29.7,0.0,0.0,0.0
A,1025,96.6,100.0,78.0,57.0,26.0,81.0,48.0,19.0,80.2,26.2,0.0,0.0,0.0
B,2575,93.8,93.8,69.0,44.0,20.0,63.0,29.0,12.0,37.7,16.4,0.0,0.0,0.0
B,701,96.4,97.7,78.0,53.0,24.0,82.0,43.0,17.0,32.6,35.7,0.0,0.0,0.0
C,303,93.3,100.0,58.0,32.0,12.0,47.0,16.0,5.0,10.7,-1.0,0.0,0.0,0.0
A,761,97.3,96.3,84.0,60.0,29.0,87.0,55.0,26.0,63.5,36.4,0.0,0.0,0.0
B,529,96.4,100.0,76.0,45.0,18.0,75.0,31.0,10.0,89.2,15.2,0.0,0.0,0.0
B,2493,94.1,98.4,77.0,52.0,22.0,78.0,45.0,20.0,73.1,9.7,0.0,0.0,0.0
B,692,93.9,95.8,77.0,52.0,24.0,72.0,36.0,14.0,82.6,15.8,0.0,0.0,0.0
A,621,93.5,100.0,77.0,52.0,24.0,80.0,44.0,20.0,56.2,36.6,0.0,0.0,0.0
B,96,96.9,,84.0,59.0,22.0,80.0,36.0,16.0,,,0.0,0.0,0.0
A,334,96.6,100.0,89.0,73.0,44.0,86.0,58.0,32.0,95.8,17.4,0.0,0.0,0.0
A,252,94.7,100.0,86.0,68.0,31.0,79.0,53.0,25.0,19.0,-1.0,0.0,0.0,0.0
B,1077,95.6,96.6,70.0,47.0,19.0,71.0,35.0,10.0,82.5,34.0,0.0,0.0,0.0
A,322,96.0,100.0,83.0,56.0,20.0,84.0,39.0,11.0,100.0,7.4,0.0,0.0,0.0
B,1549,94.3,96.8,77.0,51.0,21.0,80.0,52.0,28.0,68.4,16.9,0.0,0.0,0.0
B,736,96.2,95.7,83.0,55.0,25.0,78.0,43.0,19.0,68.9,6.5,0.0,0.0,0.0
A,1156,95.9,98.8,94.0,76.0,39.0,95.0,72.0,35.0,83.5,36.6,0.0,0.0,0.0
B,369,94.5,84.0,87.0,62.0,29.0,83.0,44.0,18.0,45.5,40.0,0.0,0.0,0.0
B,1483,94.8,92.5,78.0,54.0,24.0,77.0,38.0,15.0,83.7,22.0,0.0,0.0,0.0
Not Rated: Senate Bill 1365,2166,91.2,96.3,54.0,31.0,9.0,49.0,23.0,9.0,52.9,20.7,0.0,0.0,0.0
B,1450,94.6,97.7,74.0,48.0,20.0,79.0,44.0,20.0,36.9,41.9,0.0,0.0,0.0
A,397,95.4,100.0,75.0,51.0,22.0,78.0,45.0,15.0,80.0,21.4,0.0,0.0,0.0
B,176,95.9,100.0,62.0,41.0,19.0,70.0,31.0,10.0,69.2,0.0,0.0,0.0,0.0
A,35,97.2,-1.0,82.0,68.0,45.0,84.0,74.0,16.0,-1.0,,0.0,0.0,0.0
B,366,94.4,80.0,73.0,46.0,10.0,52.0,15.0,2.0,5.6,-1.0,0.0,0.0,0.0
B,507,96.5,,86.0,63.0,32.0,76.0,36.0,15.0,,,0.0,0.0,0.0
A,2362,96.6,100.0,82.0,54.0,24.0,76.0,41.0,20.0,100.0,16.3,0.0,0.0,0.0
A,4983,96.0,94.9,84.0,64.0,33.0,84.0,57.0,28.0,56.3,35.2,0.0,0.0,0.0
C,7840,92.6,80.6,59.0,33.0,12.0,55.0,23.0,9.0,52.5,11.0,0.0,0.0,0.0
B,5186,92.4,94.5,80.0,55.0,24.0,77.0,41.0,17.0,59.8,27.6,0.0,0.0,0.0
Not Rated: Senate Bill 1365,16729,88.7,85.4,55.0,33.0,12.0,42.0,18.0,7.0,41.6,26.0,0.0,0.0,0.0
B,365,96.0,100.0,88.0,65.0,34.0,85.0,44.0,12.0,90.6,27.6,0.0,0.0,0.0
C,1953,94.6,96.9,78.0,52.0,24.0,76.0,36.0,14.0,76.0,24.2,0.0,0.0,0.0
A,1076,91.4,98.6,71.0,43.0,18.0,76.0,47.0,21.0,79.7,5.5,0.0,0.0,0.0
C,4359,89.8,94.1,62.0,36.0,15.0,55.0,23.0,9.0,13.2,13.9,0.0,0.0,0.0
B,495,96.1,94.7,73.0,48.0,16.0,64.0,23.0,8.0,94.1,3.1,0.0,0.0,0.0
A,1770,94.5,97.9,78.0,56.0,27.0,78.0,49.0,25.0,77.4,15.3,0.0,0.0,0.0
B,695,92.2,96.1,65.0,35.0,13.0,64.0,27.0,8.0,66.7,8.3,0.0,0.0,0.0
B,94,97.2,,89.0,73.0,34.0,70.0,30.0,7.0,,,0.0,0.0,0.0
C,3595,95.6,97.5,69.0,44.0,16.0,70.0,34.0,14.0,36.4,32.1,0.0,0.0,0.0
B,12693,95.0,94.5,78.0,55.0,26.0,77.0,45.0,22.0,58.3,27.0,0.0,0.0,0.0
B,7036,93.6,92.2,70.0,44.0,17.0,68.0,35.0,13.0,26.3,39.3,0.0,0.0,0.0
A,1364,96.9,100.0,86.0,65.0,29.0,90.0,64.0,30.0,56.8,46.3,0.0,0.0,0.0
A,5862,95.9,98.1,82.0,60.0,30.0,85.0,55.0,26.0,88.9,25.3,0.0,0.0,0.0
B,1016,93.8,97.5,80.0,54.0,22.0,78.0,43.0,14.0,23.0,30.0,0.0,0.0,0.0
B,817,96.3,100.0,73.0,50.0,20.0,72.0,39.0,20.0,34.0,33.3,0.0,0.0,0.0
B,2300,96.2,88.1,67.0,37.0,12.0,61.0,25.0,8.0,29.2,25.7,0.0,0.0,0.0
B,2598,94.9,98.6,73.0,43.0,18.0,72.0,35.0,14.0,76.2,23.2,0.0,0.0,0.0
B,739,95.1,100.0,75.0,49.0,19.0,70.0,34.0,11.0,78.9,22.2,0.0,0.0,0.0
B,430,95.2,96.0,65.0,43.0,14.0,66.0,33.0,14.0,89.7,19.2,0.0,0.0,0.0
C,765,95.9,100.0,77.0,46.0,17.0,71.0,30.0,9.0,96.2,10.0,0.0,0.0,0.0
A,96,94.0,85.7,76.0,55.0,24.0,80.0,35.0,15.0,83.3,0.0,0.0,0.0,0.0
A,620,96.1,93.8,82.0,56.0,23.0,82.0,45.0,19.0,68.9,9.7,0.0,0.0,0.0
B,1048,78.0,76.0,71.0,42.0,15.0,68.0,35.0,17.0,20.2,35.0,0.0,0.0,0.0
